goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0,0,1942-43,33,600,0,0,0,0,0,0,New Westminster Spitfires,1,0,0,3.30,19,PCHL,0,0,10,0,0,0
0,0,0,1943-44,125,1620,1,0,0,0,0,0,Providence Reds,0,0,0,4.63,20,AHL,0,0,27,0,5,21
0,0,0,1944-45,147,1800,4,0,0,0,0,0,2 Teams,0,0,0,4.90,21,AHL,0,0,30,0,7,19
0,0,0,1944-45,29,240,0,0,0,0,0,0,Providence Reds,0,0,0,7.25,21,AHL,0,0,4,0,0,4
0,0,0,1944-45,118,1560,4,0,0,0,0,0,St. Louis Flyers,0,0,0,4.54,21,AHL,0,0,26,0,7,15
0,0,0,1945-46,215,3120,8,0,0,0,0,0,St. Louis Flyers,1,0,0,4.13,22,AHL,0,0,52,0,20,24
0,0,0,1946-47,257,3540,11,0,0,0,0,0,St. Louis Flyers,0,0,0,4.36,23,AHL,0,0,59,0,16,32
0,0,0,1947-48,278,3900,10,0,0,0,0,0,St. Louis Flyers,0,0,0,4.28,24,AHL,0,0,65,0,21,34
0,0,0,1948-49,271,4200,9,0,0,0,0,0,Los Angeles Monarchs,1,0,0,3.87,25,PCHL,0,0,70,0,28,33
0,0,0,1949-50,209,3720,8,0,0,0,0,0,Los Angeles Monarchs,3,0,0,3.37,26,PCHL,0,0,62,0,26,28
0,0,0,1950-51,241,4000,17,0,0,0,0,0,2 Teams,3,0,0,3.62,27,PCHL,0,0,67,0,20,29
0,0,0,1950-51,68,1140,4,0,0,0,0,0,Victoria Cougars,0,0,0,3.58,27,PCHL,0,0,19,0,7,8
0,0,0,1950-51,173,2860,13,0,0,0,0,0,Vancouver Canucks,3,0,0,3.63,27,PCHL,0,0,48,0,13,21
