shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
0,1955-56,8,0,,0,0,0,0,0,13,TOR,9,20,0,NHL,0,,70,22,[],0
0,1956-57,6,0,,0,0,0,0,0,6,TOR,4,21,0,NHL,0,,23,10,[],0
0,1957-58,32,0,,0,0,0,0,0,28,TOR,16,22,0,NHL,0,,68,44,[],0
0,1958-59,29,0,,0,0,0,0,0,30,TOR,22,23,0,NHL,0,,0,52,[],0
0,1959-60,29,0,,0,0,0,0,0,25,TOR,13,24,0,NHL,0,,0,38,[],0
0,1960-61,30,0,,0,0,0,0,0,27,TOR,12,25,0,NHL,0,,66,39,[],0
0,1961-62,14,0,,0,0,0,0,0,10,TOR,15,26,0,NHL,0,,67,25,[],0
0,1962-63,22,0,,0,0,0,0,0,24,TOR,8,27,0,NHL,0,,65,32,[],0
0,1963-64,17,0,,0,0,0,5,0,12,TOR,6,28,2,NHL,0,,63,18,[],1
0,1964-65,0,0,,0,0,0,1,0,6,TOR,1,29,0,NHL,0,,48,7,[],0
0,1965-66,6,0,,0,0,0,1,0,4,DET,1,30,0,NHL,0,,24,5,[],0
11.3,1967-68,2,13,,0,106,4,11,-6,17,OAK,12,32,0,NHL,0,,62,29,[],1
8.6,1968-69,10,14,,0,81,3,5,-19,17,TOT,7,33,0,NHL,0,,73,24,[],2
0.0,1968-69,2,3,,0,20,1,0,-1,4,OAK,0,33,0,NHL,0,,19,4,[],0
11.5,1968-69,8,11,,0,61,2,5,-18,13,PIT,7,33,0,NHL,0,,54,20,[],2
