assists,team,goals,year,games_played,points,pim,age,plus_minus,league
7,Sodertalje SK U18,10,2004-05,14,17,16,16,0,Swe-U18
8,Sodertalje SK U18,4,2005-06,7,12,2,17,0,Swe-U18
20,Sodertalje SK Jr.,20,2005-06,41,40,42,17,0,Swe-Jr.
31,Sodertalje SK Jr.,24,2006-07,40,55,42,18,0,Swe-Jr.
11,University of Michigan,11,2007-08,41,22,28,19,0,CCHA
0,Sweden,0,2007-08,6,0,0,19,0,WJC-A
18,University of Michigan,13,2008-09,41,31,32,20,0,CCHA
31,University of Michigan,19,2009-10,45,50,34,21,0,CCHA
31,University of Michigan,18,2010-11,44,49,39,22,0,CCHA
6,Connecticut Whale,7,2011-12,17,13,6,23,12,AHL
6,Sodertalje SK,5,2012-13,8,11,0,24,0,Sweden-2
0,Sweden (all),2,2013-14,6,2,0,25,1,Internationa
0,Sweden,2,2013-14,6,2,0,25,1,Olympics
1,Sweden (all),0,2016-17,4,1,4,28,1,Internationa
1,Sweden,0,2016-17,4,1,0,28,1,WCup
