even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,0,CGY,1,0,22,0,,NHL,0,6,,1982-83,9,16.7,,1,1,-2
0,0,CGY,0,21,23,0,,NHL,0,4,,1983-84,7,0.0,,0,0,0
0,0,CGY,0,24,24,0,,NHL,0,2,,1984-85,4,0.0,,0,0,-1
0,3,CGY,0,108,25,0,,NHL,0,7,,1985-86,19,0.0,,0,3,1
0,0,CGY,0,51,26,0,,NHL,0,3,,1986-87,6,0.0,,0,0,-2
4,0,CGY,4,32,27,2,,NHL,0,11,,1987-88,9,36.4,,0,4,7
0,4,CGY,0,32,28,0,,NHL,0,17,,1988-89,19,0.0,SC,0,4,1
0,0,CGY,0,4,29,0,,NHL,0,2,,1989-90,6,0.0,,0,0,2
0,0,CGY,0,10,30,0,,NHL,0,6,,1990-91,7,0.0,,0,0,-2
0,0,VAN,0,26,32,0,,NHL,0,8,,1992-93,11,0.0,,0,0,-5
0,0,VAN,0,26,33,0,,NHL,0,8,,1993-94,0,0.0,,0,0,-3
0,0,VAN,0,22,34,0,,NHL,0,3,,1994-95,11,0.0,,0,0,-3
