bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
0,BCJHL,25,Burnaby Hawks,1305,16,0,0,0,62,0,0,0,0,0,0,0,0,0,0,1985-86,0,2.85,0,0
0,WHL,38,Seattle Thunderbirds,2103,17,21,0,0,199,0,0,2,0,12,0,0,0,0,0,1986-87,0,5.68,0,0
0,WHL,62,Seattle Thunderbirds,3302,18,37,0,0,314,0,0,2,0,20,0,0,0,0,0,1987-88,0,5.71,0,0
0,AHL,4,Springfield Indians,210,19,1,0,0,12,0,0,0,0,2,0,0,0,0,0,1988-89,0,3.43,0,0
0,WHL,68,Seattle Thunderbirds,4003,19,33,0,0,240,0,0,4,3,31,0,0,0,0,0,1988-89,0,3.60,0,0
0,WHL,56,Seattle Thunderbirds,3226,20,15,0,0,221,0,0,2,0,37,0,0,0,0,0,1989-90,0,4.11,0,0
0,AHL,17,Capital District Islanders,940,21,9,0,0,70,0,0,2,0,5,0,0,0,0,0,1990-91,0,4.47,0,0
0,ECHL,20,Richmond Renegades,1020,21,9,0,0,75,0,0,2,0,6,0,0,0,0,0,1990-91,0,4.41,0,0
0,AHL,53,Capital District Islanders,3050,22,22,0,0,181,0,0,7,2,22,0,0,0,0,0,1991-92,0,3.56,0,0
0,AHL,44,Capital District Islanders,2412,23,17,0,0,146,0,0,5,1,16,0,0,0,0,0,1992-93,0,3.63,0,0
0,IHL,20,Salt Lake Golden Eagles,982,24,12,0,0,91,0,0,0,0,4,0,0,0,0,0,1993-94,0,5.56,0,0
0,AHL,14,Springfield Indians,801,24,7,0,0,59,0,0,1,0,5,0,0,0,0,0,1993-94,0,4.42,0,0
0,IHL,41,Cincinnati Cyclones,2222,25,10,0,0,126,0,0,3,0,24,0,0,0,0,.895,1994-95,1198,3.40,0,1072
0,IHL,46,Cincinnati Cyclones,2694,26,12,0,0,139,0,0,5,1,28,0,0,0,0,.899,1995-96,1377,3.10,0,1238
0,IHL,67,Milwaukee Admirals,3903,27,27,0,0,221,0,0,6,0,33,0,0,0,0,.891,1996-97,2029,3.40,0,1808
0,IHL,54,Milwaukee Admirals,2718,28,18,0,0,140,0,0,4,0,28,0,0,0,0,.887,1997-98,1242,3.09,0,1102
0,Germany,22,Adler Mannheim,1051,29,0,0,2,54,0,0,0,2,0,2,0,0,0,0,1998-99,0,3.08,0,0
0,IHL,7,Houston Aeros,418,29,2,0,0,13,0,0,2,0,3,0,0,0,0,.929,1998-99,183,1.87,0,170
0,ECHL,33,Tallahassee Tiger Sharks,1749,30,12,0,0,105,0,0,2,0,15,0,0,0,0,.892,1999-00,974,3.60,0,869
0,WCHL,2,Tacoma Sabercats,120,30,0,0,0,2,0,0,0,1,2,0,0,0,0,.953,1999-00,43,1.00,0,41
0,AHL,4,Rochester Americans,168,30,2,0,0,15,0,0,1,0,0,0,0,0,0,.845,1999-00,97,5.36,0,82
0,WCHL,54,Tacoma Sabercats,3111,31,25,0,0,162,0,0,6,3,23,0,0,0,0,0,2000-01,0,3.12,0,0
0,Britain,46,Nottingham Panthers,2633,32,0,0,0,122,0,0,0,0,0,0,0,0,0,0,2001-02,0,2.78,0,0
0,CHL,32,New Mexico Scorpions,1792,34,10,0,1,100,0,0,3,0,17,1,0,0,0,.896,2003-04,957,3.35,6,857
