game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
1,-6,16,0,16,0,1988-89,0,0,1,0,,NHL,6.3,0,20,30,[],1,1,,NYI
0,0,2,0,7,0,1989-90,0,0,0,0,,NHL,0.0,0,21,2,[],0,0,,NYI
0,0,0,0,1,0,1990-91,0,0,0,0,,NHL,0,0,22,0,[],0,0,,NYI
0,-23,43,0,50,2,1991-92,2,2,5,0,,NHL,11.6,0,23,43,[],7,3,,NYI
0,0,75,0,54,15,1992-93,14,0,9,2,,NHL,12.0,1,24,62,[],24,7,,TBL
2,-4,81,0,53,12,1993-94,9,0,11,2,,NHL,13.6,3,25,46,[],23,9,,TOT
1,-5,51,0,39,7,1993-94,4,0,8,2,,NHL,15.7,3,25,40,[],15,6,,TBL
1,1,30,0,14,5,1993-94,5,0,3,0,,NHL,10.0,0,25,6,[],8,3,,PHI
0,8,34,0,36,1,1994-95,1,0,3,0,,NHL,8.8,0,26,53,[],4,3,,PHI
0,0,49,1,59,15,1995-96,14,1,6,1,,NHL,12.2,0,27,58,[],21,4,,PHI
2,-21,152,2,72,15,1996-97,11,3,13,0,,NHL,8.6,2,28,82,[],28,10,,BOS
4,-13,112,1,79,17,1997-98,13,0,10,0,,NHL,8.9,3,29,82,[],27,10,,BOS
0,-14,121,1,71,14,1998-99,12,0,7,1,16:41,NHL,5.8,1,30,95,[],21,6,1185,BOS
0,-9,111,0,62,19,1999-00,18,0,6,0,16:32,NHL,5.4,1,31,50,[],25,6,1025,TOT
0,-1,93,0,50,16,1999-00,16,0,5,0,16:47,NHL,5.4,0,31,42,[],21,5,839,BOS
0,-8,18,0,12,3,1999-00,2,0,1,0,15:30,NHL,5.6,1,31,8,[],4,1,186,NYR
1,-14,99,0,74,18,2000-01,16,2,6,0,14:58,NHL,6.1,2,32,54,[],24,4,1108,CAR
2,-2,63,0,61,6,2001-02,6,2,6,0,10:52,NHL,9.5,0,33,25,[],12,4,663,DAL
2,18,81,0,69,9,2002-03,9,0,10,0,12:58,NHL,12.3,0,34,76,[],19,10,895,DAL
1,2,76,1,69,15,2003-04,14,1,9,0,12:58,NHL,11.8,0,35,52,[],24,8,895,DAL
1,-7,72,1,61,13,2005-06,11,0,4,2,11:41,NHL,5.6,1,37,30,[],17,2,713,TBL
