age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
25,,0,0,17,8,WHA,20,0,1976-77,1,0,7,,0,15,,WNJ,24
26,,0,0,1,4,WHA,4,0,1977-78,0,0,1,,0,8,,WNJ,2
29,,14.3,0,0,-3,NHL,5,0,1980-81,1,7,1,,1,4,,CGY,1
30,,0.0,0,0,-2,NHL,3,0,1981-82,0,6,0,,0,0,,CGY,0
