assists,team,goals,year,games_played,points,pim,age,plus_minus,league
0,Guelph Biltmores,0,1953-54,3,0,2,18,0,OHA-Jr.
5,Guelph Biltmores,6,1954-55,6,11,6,19,0,OHA-Jr.
0,Guelph Biltmores,0,1955-56,3,0,0,20,0,OHA-Jr.
7,Kitchener-Waterloo Dutchmen,2,1956-57,11,9,8,21,0,OHA-Sr.
2,Kitchener Dutchmen,1,1956-57,7,3,4,21,0,Al-Cup
3,Kitchener-Waterloo Dutchmen,5,1957-58,16,8,16,22,0,OHA-Sr.
4,Kitchener Dutchmen,0,1957-58,5,4,2,22,0,Al-Cup
3,Vancouver Canucks,2,1958-59,9,5,4,23,0,WHL
1,Long Island Ducks,3,1962-63,7,4,6,27,0,EHL
2,Long Island Ducks,2,1963-64,5,4,0,28,0,EHL
