assists,year,games_played,points,goals,team,age,pim,plus_minus,league
13,2002-03,34,25,12,Aurora Tigers,15,55,0,ON-Jr.A
9,2003-04,49,16,7,Windsor Spitfires,16,90,-5,OHL
52,2004-05,61,73,21,Windsor Spitfires,17,179,1,OHL
4,2005-06,6,6,2,Canada,18,16,6,WJC-A
34,2005-06,35,53,19,2 Teams,18,113,4,OHL
0,2005-06,1,3,3,Windsor Spitfires,18,4,0,OHL
34,2005-06,34,50,16,Peterborough Petes,18,109,4,OHL
3,2006-07,6,6,3,Canada,19,16,4,WJC-A
0,2006-07,1,0,0,Philadelphia Phantoms,19,0,-1,AHL
57,2006-07,45,92,35,2 Teams,19,124,23,OHL
36,2006-07,28,59,23,Peterborough Petes,19,92,13,OHL
21,2006-07,17,33,12,Kitchener Rangers,19,32,10,OHL
12,2007-08,21,17,5,Philadelphia Phantoms,20,114,8,AHL
24,2008-09,27,33,9,2 Teams,21,130,8,AHL
7,2008-09,4,8,1,Philadelphia Phantoms,21,23,3,AHL
17,2008-09,23,25,8,Norfolk Admirals,21,107,5,AHL
0,2009-10,7,2,2,Canada,22,28,2,WC-A
