game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
1,14,2,25,10,0,32,6,5,2007-08,6,1,6,0,73,NHL,24.0,0,29,33.3,7,20,40,9:51,[],12,9,5,315,PHI
1,9,-2,26,15,0,29,3,5,2008-09,3,0,3,0,65,NHL,11.5,0,41,25.0,7,21,40,8:26,[],6,7,3,244,TOT
0,2,-4,1,11,0,6,0,2,2008-09,0,0,0,0,11,NHL,0.0,0,3,15.4,1,21,4,5:57,[],0,4,0,36,PHI
1,7,2,25,4,0,23,3,3,2008-09,3,0,3,0,54,NHL,12.0,0,38,42.9,6,21,36,9:04,[],6,3,3,209,TBL
1,31,14,116,17,0,79,24,17,2009-10,20,0,22,7,208,NHL,19.0,4,139,50.0,20,22,184,14:43,[],46,35,15,1162,TBL
1,30,8,83,53,0,57,22,43,2010-11,19,0,10,2,171,NHL,12.0,3,94,44.8,21,23,140,14:31,[],32,25,8,828,TBL
2,49,-6,140,47,0,75,27,40,2011-12,23,0,14,2,137,NHL,10.0,4,105,46.0,25,24,265,15:56,[],41,32,12,1195,TOT
1,36,-15,99,42,0,55,16,35,2011-12,14,0,12,2,121,NHL,12.1,2,73,45.5,19,24,184,15:30,[],28,26,10,853,TBL
1,13,9,41,5,0,20,11,5,2011-12,9,0,2,0,16,NHL,4.9,2,32,50.0,6,24,81,17:06,[],13,6,2,342,COL
0,0,1,2,0,0,2,1,1,2012-13,1,0,0,0,6,NHL,0.0,0,5,100.0,1,25,4,8:54,[],1,1,0,18,COL
1,24,1,88,3,0,62,20,4,2013-14,17,0,4,3,106,NHL,4.5,3,70,57.1,18,26,159,14:06,[],24,21,1,874,TOT
1,8,4,26,0,0,11,6,0,2013-14,5,0,1,1,36,NHL,3.8,1,13,0,6,26,48,16:43,[],7,7,0,184,COL
0,16,-3,62,3,0,51,14,4,2013-14,12,0,3,2,70,NHL,4.8,2,57,57.1,12,26,111,13:32,[],17,14,1,690,PHI
2,16,2,104,4,0,72,14,4,2014-15,12,0,14,3,0,NHL,13.5,2,108,50.0,34,27,158,12:26,[],28,24,11,895,PIT
0,4,1,22,2,0,26,3,2,2015-16,3,0,3,0,53,NHL,13.6,0,29,50.0,7,28,36,9:00,[],6,4,3,234,ARI
