assists,year,games_played,points,goals,team,age,pim,plus_minus,league
3,1973-74,4,3,0,Czechoslovakia,22,4,0,WEC-A
4,1974-75,10,6,2,Czechoslovakia,23,2,0,WEC-A
2,1975-76,31,11,9,Motor Ceske Budejovice,24,18,0,Czech
2,1975-76,5,2,0,Czechoslovakia,24,2,0,Olympics
0,1975-76,8,0,0,Czechoslovakia,24,4,0,WEC-A
1,1976-77,7,1,0,Czechoslovakia,25,4,0,Can-Cup
1,1976-77,9,1,0,Czechoslovakia,25,8,0,WEC-A
16,1977-78,43,26,10,Motor Ceske Budejovice,26,48,0,Czech
3,1977-78,16,4,1,Czechoslovakia,26,0,0,Nat-Tm
3,1977-78,10,3,0,Czechoslovakia,26,4,0,WEC-A
19,1978-79,42,22,3,Motor Ceske Budejovice,27,14,0,Czech
3,1978-79,24,3,0,Czechoslovakia,27,0,0,Nat-Tm
0,1978-79,8,0,0,Czechoslovakia,27,0,0,WEC-A
17,1979-80,44,24,7,Motor Ceske Budejovice,28,27,0,Czech
5,1979-80,24,9,4,Czechoslovakia,28,4,0,Nat-Tm
1,1979-80,6,2,1,Czechoslovakia,28,0,0,Olympics
27,1980-81,44,35,8,Motor Ceske Budejovice,29,0,0,Czech
3,1980-81,28,8,5,Czechoslovakia,29,0,0,Nat-Tm
2,1980-81,8,3,1,Czechoslovakia,29,4,0,WEC-A
3,1981-82,6,3,0,Czechoslovakia,30,2,0,Can-Cup
20,1981-82,38,26,6,Motor Ceske Budejovice,30,24,0,Czech
15,1981-82,35,15,0,Czechoslovakia,30,6,0,Nat-Tm
5,1981-82,10,5,0,Czechoslovakia,30,4,0,WEC-A
3,1982-83,10,3,0,Czechoslovakia,31,14,0,WEC-A
46,1985-86,43,59,13,ESG Kassel,34,46,0,W.Ger-2
54,1986-87,52,62,8,ESG Kassel,35,44,0,W.Ger-2
36,1987-88,36,46,10,EHC Essen-West,36,16,0,W.Ger-2
7,1988-89,27,7,0,Motor Ceske Budejovice,37,16,0,Czech
