pim,team,assists,plus_minus,points,league,games_played,year,age,goals
4,Winnipeg Monarchs,2,0,7,MJHL,6,1944-45,17,5
4,Winnipeg Monarchs,2,0,6,M-Cup,10,1944-45,17,4
0,Winnipeg Monarchs,1,0,3,MJHL,7,1945-46,18,2
14,Winnipeg Monarchs,4,0,10,M-Cup,17,1945-46,18,6
7,Winnipeg Monarchs,4,0,5,MJHL,6,1946-47,19,1
0,Toronto Marlboros,0,0,0,OHA-Jr.,5,1947-48,20,0
26,Toronto Marlboros,3,0,4,OHA-Sr.,10,1948-49,21,1
15,Toronto Marlboros,8,0,11,Al-Cup,13,1948-49,21,3
4,Toronto Marlboros,4,0,11,OHA-Sr.,14,1949-50,22,7
2,Toronto Marlboros,11,0,21,Al-Cup,16,1949-50,22,10
2,Toronto Marlboros,1,0,2,OMHL,3,1950-51,23,1
0,Saint John Beavers,1,0,2,MMHL,3,1951-52,24,1
8,Kitchener Dutchmen,2,0,3,OHA-Sr.,11,1952-53,25,1
11,Kitchener Dutchmen,9,0,12,Al-Cup,17,1952-53,25,3
