even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,2,STL,0,8,21,0,,NHL,0,16,186,1998-99,11,0.0,,0,2,0
0,3,STL,0,6,22,0,,NHL,0,16,116,1999-00,7,0.0,,0,3,-2
0,0,PHX,0,2,24,0,,NHL,0,7,75,2001-02,5,0.0,,0,0,-2
2,6,PHI,2,6,25,1,,NHL,0,20,239,2002-03,13,10.0,,0,8,3
5,5,PHI,5,10,26,0,,NHL,0,23,334,2003-04,18,21.7,,0,10,7
0,2,PHI,0,2,28,0,,NHL,0,4,96,2005-06,6,0.0,,0,2,-2
0,2,LAK,3,4,32,0,21,NHL,0,17,117,2009-10,6,17.6,,3,5,-5
1,1,LAK,1,0,33,0,14,NHL,0,7,122,2010-11,6,14.3,,0,2,-4
0,0,SJS,0,0,34,0,5,NHL,0,4,22,2011-12,2,0.0,,0,0,0
2,8,CHI,3,6,35,0,26,NHL,1,17,369,2012-13,0,17.6,SC,0,11,7
2,1,CHI,2,8,36,1,14,NHL,0,9,252,2013-14,19,22.2,,0,3,-8
