power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
1,4,3,0,NHL,1981-82,20,1,WIN,,2,29,-8,0,10,,,10.0,0
0,3,0,0,NHL,1982-83,21,0,WIN,,0,0,-5,0,7,,,0.0,0
1,3,2,0,NHL,1983-84,22,1,WIN,,1,0,-6,0,13,,,7.7,0
2,8,9,0,NHL,1984-85,23,2,WIN,,7,6,-3,0,20,,,10.0,0
0,8,4,0,NHL,1985-86,24,1,HAR,,3,14,0,0,18,,,5.6,1
1,6,2,0,NHL,1986-87,25,1,HAR,,1,14,-4,0,27,,,3.7,0
0,6,5,0,NHL,1987-88,26,3,HAR,,2,2,-1,0,23,,,13.0,3
0,4,6,0,NHL,1988-89,27,1,HAR,,5,2,1,0,16,,,6.3,1
0,7,3,0,NHL,1989-90,28,1,HAR,,2,0,5,0,14,,,7.1,1
1,13,8,1,NHL,1991-92,30,2,VAN,,6,10,6,0,25,,,8.0,1
1,12,7,0,NHL,1992-93,31,2,VAN,,5,6,-2,0,25,,,8.0,1
0,0,8,1,NHL,1993-94,32,3,VAN,,5,12,4,0,26,,,11.5,3
1,11,4,0,NHL,1994-95,33,2,VAN,,2,14,-8,1,16,,,12.5,0
1,5,1,0,NHL,1997-98,36,1,PHI,,0,4,2,0,12,,,8.3,0
