age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
20,,0,0,3,0,NHL,0,0,1955-56,0,0,1,,0,13,,DET,4
21,,0,0,1,0,NHL,5,0,1956-57,0,0,1,,0,6,,DET,2
22,,0,0,2,0,NHL,4,0,1957-58,0,0,0,,0,4,,DET,2
24,,7.1,0,2,-4,NHL,6,0,1959-60,0,28,2,,0,0,,DET,4
25,,0.0,0,4,-2,NHL,11,0,1960-61,0,27,0,,0,4,,DET,4
27,,9.8,0,0,-1,NHL,0,0,1962-63,0,41,4,,0,14,,DET,0
28,,15.2,0,10,1,NHL,0,0,1963-64,0,46,7,,0,6,,DET,17
29,,19.4,0,4,-3,NHL,7,0,1964-65,0,31,6,,0,2,,DET,10
30,,12.5,0,9,0,NHL,0,0,1965-66,0,0,0,,0,12,,DET,0
33,,10.0,1,0,-2,NHL,4,0,1968-69,0,10,1,,0,0,,TOR,1
35,,0.0,0,2,-1,NHL,6,0,1970-71,0,17,0,,0,2,,TOR,2
36,,7.1,1,3,-6,NHL,5,0,1971-72,0,14,1,,0,2,,TOR,4
38,,14.3,1,1,-2,NHL,4,0,1973-74,0,7,1,,0,0,,TOR,2
39,,0.0,0,0,-2,NHL,7,0,1974-75,0,5,0,,0,2,,TOR,0
40,,0,0,3,3,WHA,4,0,1975-76,0,0,1,,0,2,,EDO,4
41,,0,0,3,-2,WHA,5,0,1976-77,0,0,0,,0,0,,EDO,3
