shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,pim,shutouts,points,bad_start,team
0,0,0,0,120,2,0,1952-53,0,0,4.00,OHA-Jr.,0,8,0,0,0,0,0,20,0,0,0,0,St. Catharines Teepees
0,0,0,0,730,12,0,1953-54,0,5,2.88,MMHL,0,35,0,0,7,0,0,21,0,1,0,0,Sydney Millionaires
0,0,0,0,720,12,0,1957-58,0,8,2.67,EHL,0,32,0,0,4,0,0,25,0,1,0,0,Washington Presidents
0,0,0,0,480,8,0,1958-59,0,8,2.25,EHL,0,18,0,0,0,0,0,26,0,1,0,0,Clinton Comets
0,0,0,0,480,8,0,1959-60,0,3,2.87,EHL,0,23,0,0,5,0,0,27,0,0,0,0,Clinton Comets
0,0,0,0,240,4,0,1960-61,0,1,3.75,EHL,0,15,0,0,3,0,0,28,0,0,0,0,Clinton Comets
0,0,0,0,360,6,0,1961-62,0,1,3.67,EHL,0,22,0,0,5,0,0,29,0,0,0,0,Clinton Comets
0,0,0,0,780,13,0,1962-63,0,8,3.46,EHL,0,45,0,0,5,0,0,30,0,0,0,0,Clinton Comets
0,0,0,0,730,12,0,1963-64,0,7,3.70,EHL,0,45,0,0,5,0,0,31,0,1,0,0,Clinton Comets
0,0,0,0,670,11,0,1964-65,0,5,2.87,EHL,0,32,0,0,6,0,0,32,0,0,0,0,Clinton Comets
0,0,0,0,540,9,0,1966-67,0,5,3.22,EHL,0,29,0,0,4,0,0,34,0,0,0,0,Jersey Devils
