even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
4,2,QUE,4,34,20,1,,NHL,0,12,,1980-81,5,33.3,,0,6,-4
2,7,QUE,3,52,21,2,,NHL,0,14,,1981-82,16,21.4,,1,10,-9
1,1,QUE,2,24,22,0,,NHL,1,7,,1982-83,4,28.6,,0,3,0
2,3,QUE,2,41,23,0,,NHL,0,9,,1983-84,9,22.2,,0,5,-2
3,6,QUE,4,0,24,2,,NHL,1,21,,1984-85,17,19.0,,0,10,0
0,0,QUE,0,15,25,0,,NHL,0,9,,1985-86,3,0.0,,0,0,-1
0,7,QUE,1,56,26,0,,NHL,0,15,,1986-87,13,6.7,,1,8,-5
3,5,WSH,7,98,27,1,,NHL,0,24,,1987-88,14,29.2,,4,12,2
0,4,WSH,0,29,28,0,,NHL,0,7,,1988-89,6,0.0,,0,4,3
3,8,WSH,4,61,29,0,,NHL,0,13,,1989-90,15,30.8,,1,12,-1
1,9,WSH,1,41,30,0,,NHL,0,16,,1990-91,11,6.3,,0,10,2
1,4,WSH,1,16,31,0,,NHL,0,16,,1991-92,7,6.3,,0,5,-1
3,1,WSH,7,35,32,1,,NHL,0,18,,1992-93,6,0,,4,8,-7
0,3,WSH,0,14,33,0,,NHL,0,7,,1993-94,7,0.0,,0,3,-2
2,4,WSH,4,24,34,0,,NHL,0,13,,1994-95,7,30.8,,2,8,0
1,5,WSH,1,24,35,0,,NHL,0,14,,1995-96,6,7.1,,0,6,4
0,4,WSH,0,30,37,0,,NHL,0,14,,1997-98,21,0.0,,0,4,-1
1,3,COL,1,38,38,0,130,NHL,0,10,6:50,1998-99,19,10.0,,0,4,0
