won,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
,0,NHL,0,DET,0,18,0,0,0,0,0,0,0,2,7,0,0,0,0,0,1944-45,0,0,0,0
,0,NHL,5,DET,310,19,4,0,0,16,0,0,0,0,1,0,0,0,0,0,1945-46,0,3.10,0,0
,0,NHL,0,DET,0,21,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1947-48,0,3.00,10,0
,0,NHL,0,DET,0,22,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1948-49,0,2.15,2,0
SC,0,NHL,0,DET,0,23,0,0,0,28,0,0,0,0,0,0,0,0,0,0,1949-50,0,1.85,0,0
,0,NHL,5,TOR,321,27,0,0,0,15,0,0,0,0,1,0,0,0,0,0,1953-54,0,2.80,0,0
,0,NHL,4,TOR,240,28,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1954-55,0,3.50,0,0
,0,NHL,5,TOR,304,29,4,0,0,13,0,0,0,1,1,0,0,0,0,0,1955-56,0,2.57,2,0
,0,NHL,1,BOS,60,31,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1957-58,0,5.00,0,0
,0,NHL,7,BOS,436,32,4,0,0,20,0,0,0,0,3,0,0,0,0,0,1958-59,0,2.75,4,0
