pim,team,assists,plus_minus,points,league,games_played,year,age,goals
45,Kelowna Buckaroos,103,0,140,BCJHL,66,1974-75,17,37
32,University of Denver,28,0,40,WCHA,39,1975-76,18,12
42,University of Denver,41,0,58,WCHA,40,1976-77,19,17
34,University of Denver,39,0,64,WCHA,32,1977-78,20,25
15,Dallas Black Hawks,34,0,53,CHL,44,1978-79,21,19
2,Fort Worth Texans,7,0,15,CHL,23,1980-81,23,8
2,Wichita Wind,5,0,9,CHL,10,1981-82,24,4
30,Mannheimer ERC,37,0,56,W.German,44,1981-82,24,19
36,Mannheimer ERC,34,0,53,W.German,36,1982-83,25,19
36,Mannheimer ERC,47,0,73,W.German,47,1983-84,26,26
14,Geneve-Servette HC,18,0,42,Swiss-2,26,1984-85,27,24
8,Kolner EC,24,0,49,W.German,36,1985-86,28,25
28,Kolner EC,38,0,49,W.German,33,1986-87,29,11
24,Kolner EC,33,0,48,W.German,36,1987-88,30,15
23,Kolner EC,23,0,32,W.German,29,1988-89,31,9
26,Kolner EC,24,0,39,W.German,36,1989-90,32,15
39,Kolner EC,40,0,53,Germany,44,1990-91,33,13
18,Kolner EC,25,0,38,Germany,32,1991-92,34,13
