assists,team,goals,year,games_played,points,pim,age,plus_minus,league
2,Everett Silvertips,3,2003-04,20,5,2,15,-2,WHL
3,Everett Silvertips,2,2004-05,11,5,8,16,1,WHL
11,Everett Silvertips,3,2005-06,15,14,4,17,-1,WHL
8,Everett Silvertips,2,2006-07,12,10,16,18,0,WHL
3,Everett Silvertips,0,2007-08,4,3,2,19,-3,WHL
3,Providence Bruins,1,2007-08,9,4,0,19,5,AHL
5,Providence Bruins,1,2008-09,16,6,4,20,-3,AHL
1,Milwaukee Admirals,1,2012-13,4,2,2,24,0,AHL
