assists,year,games_played,points,goals,team,age,pim,plus_minus,league
21,1988-89,37,34,13,Laval-Laurentides,16,39,0,QAAA
19,1989-90,53,34,15,2 Teams,17,69,0,QMJHL
9,1989-90,24,14,5,Chicoutimi Sagueneens,17,27,0,QMJHL
10,1989-90,29,20,10,Drummondville Voltigeurs,17,42,0,QMJHL
38,1990-91,58,67,29,Drummondville Voltigeurs,18,87,0,QMJHL
31,1991-92,40,57,26,2 Teams,19,71,0,QMJHL
17,1991-92,28,36,19,Drummondville Voltigeurs,19,48,0,QMJHL
14,1991-92,12,21,7,Verdun College Francais,19,23,0,QMJHL
24,1992-93,63,37,13,Hershey Bears,20,22,0,AHL
20,1993-94,51,42,22,Hershey Bears,21,42,0,AHL
19,1994-95,41,34,15,Hershey Bears,22,35,0,AHL
36,1995-96,52,56,20,Hershey Bears,23,81,0,AHL
