power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,9,0,0,NHL,2006-07,25,0,VAN,252,0,20,-1,0,13,,,0.0,0
0,10,5,0,NHL,2008-09,27,0,VAN,241,5,14,3,0,18,42,,0.0,0
1,12,8,1,NHL,2009-10,28,3,VAN,271,5,14,2,0,20,56,,15.0,2
1,0,10,1,NHL,2010-11,29,5,VAN,642,5,51,6,0,47,108,,10.6,4
0,5,1,1,NHL,2011-12,30,1,VAN,124,0,6,0,0,17,33,,5.9,1
0,4,1,0,NHL,2012-13,31,1,VAN,103,0,8,-1,0,6,18,,16.7,1
0,6,0,0,NHL,2014-15,33,0,VAN,110,0,9,-1,0,5,12,,0.0,0
0,6,1,0,NHL,2015-16,34,0,ANA,118,1,2,1,0,11,22,,0.0,0
0,8,4,0,NHL,2016-17,35,0,ANA,136,4,23,5,0,10,20,,0.0,0
