pim,team,assists,plus_minus,points,league,games_played,year,age,goals
97,Victoria Cougars,40,0,67,BCJHL,47,1969-70,18,27
197,Victoria Cougars,44,0,75,BCJHL,47,1970-71,19,31
97,San Diego Gulls,8,0,14,WHL,65,1971-72,20,6
165,San Diego Gulls,13,0,30,WHL,61,1972-73,21,17
138,Richmond Robins,7,0,21,AHL,68,1973-74,22,14
38,Providence Reds,6,0,9,AHL,38,1975-76,24,3
