year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1974-75,16,18,26,29,0,ON-Jr.B,38,Wexford Warriors,47
1975-76,17,22,10,38,0,OMJHL,65,Peterborough Petes,60
1976-77,18,18,41,24,0,OMJHL,48,Peterborough Petes,42
1977-78,19,27,29,44,0,OMJHL,68,Peterborough Petes,71
1978-79,20,20,14,30,0,AHL,80,New Brunswick Hawks,50
1979-80,21,19,33,42,0,AHL,61,New Brunswick Hawks,61
1983-84,25,8,8,10,0,AHL,35,Fredericton Express,18
1984-85,26,5,18,9,0,AHL,15,Fredericton Express,14
1985-86,27,23,33,36,0,AHL,77,Fredericton Express,59
1986-87,28,27,20,37,0,AHL,80,Fredericton Express,64
1987-88,29,17,42,30,0,AHL,73,Newmarket Saints,47
1988-89,30,4,18,8,0,AHL,37,Newmarket Saints,12
