goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
1.6,0,NHL,8,CHI,447,21,3,0,0,21,0,0,2,1,2,0,0,0,0,.913,2002-03,241,2.82,0,[],220
4.7,0,NHL,34,CHI,1988,22,18,113,2,99,0,-11.10,8,2,6,2,0,0,0,.900,2003-04,987,2.99,2,[],888
0.3,0,NHL,5,TOT,215,25,2,0,0,14,0,0,0,0,2,0,0,0,0,.875,2006-07,112,3.91,0,[],98
-0.1,0,NHL,1,NSH,20,25,0,0,0,2,0,0,0,0,0,0,0,0,0,.800,2006-07,10,6.00,0,[],8
0.4,0,NHL,4,PHI,195,25,2,0,0,12,0,0,0,0,2,0,0,0,0,.882,2006-07,102,3.69,0,[],90
0.3,0,NHL,3,CAR,158,26,1,0,0,7,3,0,0,0,1,0,.333,0,1,.897,2007-08,68,2.66,0,[],61
2.6,1,NHL,19,CAR,1029,27,7,108,0,50,14,-3.60,2,0,6,0,.500,0,7,.901,2008-09,507,2.92,4,[],457
4.8,6,NHL,34,TOT,1799,28,9,107,1,85,31,-5.23,2,1,17,1,.613,0,19,.905,2009-10,899,2.83,0,[],814
-0.2,2,NHL,7,CAR,350,28,4,0,0,25,5,0,0,0,1,0,.200,0,1,.848,2009-10,164,4.29,0,[],139
5.0,4,NHL,27,PHI,1449,28,5,92,1,60,26,5.22,2,1,16,1,.692,0,18,.918,2009-10,735,2.48,0,[],675
0.1,0,NHL,1,PHI,60,29,0,0,0,4,1,0,0,0,1,0,.000,0,0,.889,2010-11,36,4.00,0,[],32
-0.2,1,NHL,1,PHI,59,31,1,0,0,5,1,0,0,0,0,0,.000,0,0,.808,2012-13,26,5.08,0,[],21
0.2,0,NHL,1,CHI,39,34,0,0,0,1,0,0,0,0,0,0,0,0,0,.941,2015-16,17,1.54,0,[],16
0.1,1,NHL,4,CAR,210,35,2,0,1,12,3,0,0,0,2,1,.333,0,1,.870,2016-17,92,3.43,0,[],80
