pim,team,assists,plus_minus,points,league,games_played,year,age,goals
103,Saskatoon Contacts,19,0,40,SMHL,33,1998-99,16,21
0,Red Deer Rebels,1,0,1,WHL,1,1998-99,16,0
122,Red Deer Rebels,25,31,38,WHL,68,1999-00,17,13
156,Red Deer Rebels,42,44,78,WHL,72,2000-01,18,36
115,Red Deer Rebels,41,27,68,WHL,64,2001-02,19,27
76,Wilkes-Barre Scranton Pens,11,-13,18,AHL,73,2002-03,20,7
71,Wilkes-Barre Penguins,17,6,27,AHL,67,2003-04,21,10
89,Wilkes-Barre Penguins,37,9,55,AHL,80,2004-05,22,18
44,Wilkes-Barre Penguins,18,14,29,AHL,31,2005-06,23,11
4,Canada,1,1,2,WC-A,9,2006-07,24,1
4,Canada,3,4,3,WC-A,9,2008-09,26,0
