game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,1,1,0,2,1,1987-88,1,0,0,0,,NHL,0.0,0,24,0,[],1,0,,TOR
0,0,2,0,4,0,1988-89,0,0,0,0,,NHL,0.0,0,25,0,[],0,0,,TOR
