assists,year,games_played,points,goals,team,age,pim,plus_minus,league
18,1996-97,35,28,10,Quinte Hawks,16,281,0,ON-Jr.A
7,1997-98,30,17,10,2 Teams,17,114,0,OHL
1,1997-98,12,7,6,Sarnia Sting,17,37,0,OHL
6,1997-98,18,10,4,Toronto St. Michael\'s Majors,17,77,0,OHL
42,1998-99,53,75,33,2 Teams,18,178,0,OHL
22,1998-99,27,40,18,Toronto St. Michael\'s Majors,18,116,0,OHL
20,1998-99,26,35,15,Barrie Colts,18,62,0,OHL
53,1999-00,58,87,34,Barrie Colts,19,203,0,OHL
15,2000-01,69,34,19,Albany River Rats,20,195,-24,AHL
1,2009-10,7,4,3,St. Mary\'s Huskies,29,22,0,AUAA
2,2010-11,28,5,3,St. Mary\'s Huskies,30,30,0,AUAA
5,2011-12,19,9,4,Orli Znojmo,31,65,0,Austria
7,2012-13,14,10,3,HC \'05 Banska Bystrica,32,12,0,Slovakia
