pim,team,assists,plus_minus,points,league,games_played,year,age,goals
110,Winnipeg South Blues,11,0,16,MJHL,46,1997-98,16,5
91,Saskatoon Blades,3,-34,8,WHL,61,1998-99,17,5
79,Saskatoon Blades,8,14,9,WHL,63,1999-00,18,1
161,2 Teams,18,4,25,WHL,65,2000-01,19,7
110,Saskatoon Blades,10,-6,15,WHL,43,2000-01,19,5
51,Regina Pats,8,10,10,WHL,22,2000-01,19,2
257,Chicago Wolves,4,-8,7,AHL,75,2001-02,20,3
140,Chicago Wolves,6,11,9,AHL,53,2002-03,21,3
128,Rockford IceHogs,10,7,13,AHL,77,2010-11,29,3
177,Grand Rapids Griffins,14,8,21,AHL,75,2011-12,30,7
95,Providence Bruins,7,13,9,AHL,52,2012-13,31,2
