assists,year,games_played,points,goals,team,age,pim,plus_minus,league
18,1974-75,33,31,13,University of Michigan,18,0,0,WCHA
22,1975-76,42,61,39,University of Michigan,19,22,0,WCHA
56,1976-77,45,99,43,University of Michigan,20,40,0,WCHA
3,1976-77,8,6,3,United States,20,2,0,WEC-A
38,1977-78,46,58,20,University of Michigan,21,16,0,WCHA
4,1977-78,10,8,4,United States,21,0,0,WEC-A
12,1979-80,16,16,4,Springfield Indians,23,2,0,AHL
8,1979-80,10,16,8,Cincinnati Stingers,23,2,0,CHL
11,1980-81,18,15,4,Binghamton Whalers,24,0,0,AHL
4,1980-81,8,9,5,United States,24,14,0,WEC-A
39,1981-82,71,68,29,2 Teams,25,8,0,CHL
24,1981-82,50,40,16,Cincinnati Tigers,25,6,0,CHL
15,1981-82,21,28,13,Oklahoma City Stars,25,2,0,CHL
28,1982-83,55,53,25,Birmingham South Stars,26,8,0,CHL
41,1983-84,38,97,56,EHC Wetzikon,27,0,0,Swiss-2
