pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Boston College Eagles,8,0,17,ECAC,22,1982-83,18,9
6,Boston College Eagles,10,0,21,ECAC,38,1983-84,19,11
10,Boston College Eagles,31,0,68,H-East,45,1984-85,20,37
16,Boston College Eagles,40,0,56,H-East,38,1985-86,21,16
2,United States,1,0,3,WEC-A,10,1985-86,21,2
15,Maine Mariners,34,0,58,AHL,73,1986-87,22,24
2,Utica Devils,2,0,2,AHL,2,1987-88,23,0
0,Utica Devils,4,0,5,AHL,4,1988-89,24,1
0,United States,2,0,3,WEC-A,10,1988-89,24,1
0,United States,1,0,1,WEC-A,10,1990-91,26,0
0,United States,2,0,3,Can-Cup,8,1991-92,27,1
8,Utica Devils,17,0,28,AHL,25,1992-93,28,11
4,United States,3,1,4,WC-A,8,2000-01,36,1
