average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,1,0,0,NHL,22,1,0,-4,10,0,0,0,0,1986-87,NJD,0,1,[],0.0,,4
,25,2,4,NHL,23,9,20,7,112,9,1,1,1,1987-88,NJD,14,11,"[{'link': '/awards/voting-1988.html#calder', 'name': 'Calder-6'}]",12.5,,70
,25,2,0,NHL,24,7,15,-7,110,11,4,2,1,1988-89,NJD,15,10,[],13.6,,63
,34,3,3,NHL,25,17,16,7,135,10,1,1,2,1989-90,NJD,14,20,[],10.4,,69
,30,2,2,NHL,26,16,4,18,122,12,0,0,0,1990-91,NJD,14,16,[],11.5,,58
,28,1,2,NHL,27,14,27,17,140,8,1,3,0,1991-92,NJD,11,17,"[{'link': '/awards/voting-1992.html#selke', 'name': 'Selke-21'}]",7.9,,71
,5,0,0,NHL,28,5,2,3,17,0,0,0,0,1992-93,NJD,0,5,[],0.0,,15
,55,1,0,NHL,29,36,18,19,152,16,2,0,1,1993-94,PIT,18,37,[],11.8,,77
,21,2,1,NHL,30,11,16,14,69,7,1,1,0,1994-95,DET,9,12,[],13.0,,45
,27,1,1,NHL,31,11,4,11,115,11,0,2,2,1995-96,DET,12,15,[],10.4,,62
,13,0,0,NHL,32,5,8,-3,69,5,1,1,1,1996-97,DET,6,7,[],8.7,,49
,42,5,1,NHL,33,16,12,17,145,12,6,0,7,1997-98,DET,19,23,"[{'link': '/awards/voting-1998.html#selke', 'name': 'Selke-12'}]",13.1,,80
13:47,28,1,1,NHL,34,16,42,5,180,5,3,2,1,1998-99,DET,9,19,[],5.0,1103,80
12:53,18,0,1,NHL,35,7,12,8,67,9,0,1,0,1999-00,DET,10,8,[],14.9,657,51
11:14,22,1,1,NHL,36,10,14,0,91,6,2,0,3,2000-01,DET,9,13,[],9.9,674,60
