power_play_goals,assists,points,power_play_assists,league,even_strength_assists,game_winning_goals,shorthanded_goals,shotsPercentage,games_played,average_ice_time,year,team,age,plus_minus,shorthanded_assists,even_strength_goals,pim,awards,total_ice_time,goals,shots
0,0,0,0,NHL,0,0,0,0,1,,1961-62,MTL,23,0,0,0,0,[],,0,0
0,2,2,0,NHL,2,0,0,0.0,3,,1972-73,STL,34,4,0,0,2,[],,0,2
