game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
0,0,-2,8,0,0,13,1,0,1995-96,1,0,1,0,12,NHL,12.5,0,0,0,0,23,0,,[],2,0,1,,EDM
0,0,-2,31,0,0,37,4,0,1996-97,4,0,0,0,52,NHL,0.0,0,0,0,0,24,0,,[],4,0,0,,EDM
0,0,-17,53,0,1,65,4,0,1997-98,3,0,7,1,80,NHL,13.2,0,0,0,0,25,0,,[],11,0,6,,EDM
0,0,-7,57,0,0,73,3,0,1998-99,3,0,1,0,64,NHL,1.8,0,0,0,0,26,0,16:32,[],4,0,1,1207,TOT
0,0,-4,1,0,0,6,0,0,1998-99,0,0,0,0,4,NHL,0.0,0,0,0,0,26,0,18:11,[],0,0,0,109,NSH
0,0,-3,56,0,0,67,3,0,1998-99,3,0,1,0,60,NHL,1.8,0,0,0,0,26,0,16:23,[],4,0,1,1098,COL
0,0,-7,40,0,0,69,7,0,1999-00,7,0,2,0,73,NHL,5.0,0,0,0,0,27,0,14:59,[],9,0,2,1034,COL
0,0,23,76,0,1,79,12,0,2000-01,11,0,5,0,51,NHL,6.6,0,0,0,0,28,0,17:06,[],17,0,5,1351,COL
3,0,18,148,0,1,82,12,0,2001-02,10,1,8,1,57,NHL,5.4,1,0,0,0,29,0,23:03,[],20,0,6,1890,COL
2,0,15,112,0,1,82,26,0,2002-03,25,0,6,0,70,NHL,5.4,0,0,0,0,30,0,22:15,[],32,0,6,1825,COL
0,0,12,70,0,1,66,13,0,2003-04,10,0,3,0,43,NHL,4.3,2,0,0,0,31,0,18:47,[],16,0,3,1240,TOT
0,0,12,58,0,1,53,12,0,2003-04,10,0,3,0,37,NHL,5.2,1,0,0,0,31,0,19:01,[],15,0,3,1007,NYR
0,0,0,12,0,0,13,1,0,2003-04,0,0,0,0,6,NHL,0.0,1,0,0,0,31,0,17:51,[],1,0,0,232,OTT
2,0,1,111,0,1,82,28,0,2005-06,15,0,7,3,76,NHL,6.3,12,0,0,0,33,0,22:01,[],35,0,4,1805,ATL
0,0,-3,102,0,0,82,21,0,2006-07,12,0,3,0,66,NHL,2.9,9,0,0,0,34,0,22:14,[],24,0,3,1824,ATL
1,27,7,66,0,0,77,11,0,2007-08,11,0,4,0,71,NHL,6.1,0,72,0,94,35,121,18:52,[],15,24,4,1452,NSH
0,20,-15,38,0,0,71,4,0,2008-09,4,0,1,0,65,NHL,2.6,0,58,0,73,36,108,15:08,[],5,17,1,1074,NSH
