average_ice_time,total_shots,points,game_winning_goals,shorthanded_goals,blocks,league,age,even_strength_assists,faceoff_wins,pim,plus_minus,shots,faceoff_percentage,even_strength_goals,faceoff_loses,power_play_goals,shorthanded_assists,power_play_assists,takeaways,year,team,goals,hits,assists,giveaways,shotsPercentage,total_ice_time,games_played,awards
15:23,0,12,1,0,0,NHL,21,7,0,14,4,58,0,1,0,0,0,4,0,2003-04,SJS,1,0,11,0,1.7,630,41,[]
17:48,0,23,2,0,0,NHL,23,7,0,32,10,124,0,3,0,2,0,11,0,2005-06,SJS,5,0,18,0,4.0,1140,64,[]
18:34,0,33,2,0,0,NHL,24,11,0,63,8,164,0,4,0,6,0,12,0,2006-07,SJS,10,0,23,0,6.1,1523,82,[]
21:44,263,22,1,0,108,NHL,25,16,0,72,9,97,0,0,0,1,1,4,22,2007-08,SJS,1,92,21,43,1.0,1673,77,[]
21:14,349,42,2,0,90,NHL,26,14,0,63,-12,165,0,3,0,5,0,20,33,2008-09,SJS,8,79,34,49,4.8,1635,77,[]
22:47,393,44,3,0,82,NHL,27,13,0,42,36,181,0,8,0,6,0,17,30,2009-10,VAN,14,54,30,54,7.7,1823,80,"[{'link': '/awards/voting-2010.html#AS', 'name': 'AS-11'}, {'link': '/awards/voting-2010.html#norris', 'name': 'Norris-9'}]"
23:59,434,50,3,0,108,NHL,28,13,0,52,19,209,0,8,0,6,1,22,19,2010-11,VAN,14,54,36,47,6.7,1895,79,"[{'link': '/awards/voting-2011.html#AS', 'name': 'AS-7'}, {'link': '/awards/voting-2011.html#norris', 'name': 'Norris-8'}]"
23:03,303,32,3,0,82,NHL,29,15,0,47,-2,136,0,4,0,1,2,10,24,2011-12,BUF,5,47,27,51,3.7,1522,66,[]
25:11,223,22,2,0,81,NHL,30,9,0,34,6,102,0,4,0,1,0,8,22,2012-13,BUF,5,38,17,24,4.9,1184,47,"[{'link': '/awards/voting-2013.html#AS', 'name': 'AS-28'}]"
23:55,334,33,2,1,119,NHL,31,14,0,38,-27,161,0,4,0,1,2,11,36,2013-14,BUF,6,49,27,61,3.7,1889,79,[]
21:46,226,14,3,0,49,NHL,32,9,0,26,8,110,0,3,0,0,0,2,12,2014-15,PIT,3,73,11,21,2.7,1066,49,[]
15:29,174,12,0,0,35,NHL,33,2,0,34,-11,80,0,2,0,0,0,8,5,2015-16,TOT,2,39,10,22,2.5,743,48,[]
15:10,137,10,0,0,28,NHL,33,1,0,32,-10,61,0,2,0,0,0,7,5,2015-16,LAK,2,34,8,20,3.3,607,40,[]
17:03,37,2,0,0,7,NHL,33,1,0,2,-1,19,0,0,0,0,0,1,0,2015-16,CHI,0,5,2,2,0.0,136,8,[]
