age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
21,,0.0,0,0,0,NHL,5,0,2001-02,0,4,0,103,0,6,,PHX,0
23,,0.0,0,1,3,NHL,11,0,2003-04,0,4,0,243,0,18,,COL,1
25,,0.0,0,0,0,NHL,1,0,2005-06,0,1,0,14,0,0,,COL,0
28,,0,0,0,0,NHL,3,0,2008-09,0,0,0,28,0,2,1,VAN,0
