pim,team,assists,plus_minus,points,league,games_played,year,age,goals
2,Copper Cliff Jr. Redmen,1,0,2,NBHL,3,1947-48,17,1
12,Copper Cliff Jr. Redmen,2,0,4,M-Cup,7,1947-48,17,2
11,St. Catharines Teepees,1,0,1,OHA-Jr.,5,1948-49,18,0
8,St. Catharines Teepees,1,0,1,OHA-Jr.,5,1949-50,19,0
9,Boston Olympics,2,0,2,EAHL,5,1949-50,19,0
18,Chatham/Niagara Falls,1,0,3,OHA-Sr.,6,1953-54,23,2
