game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,-2,28,0,9,4,1978-79,2,0,4,1,,NHL,14.3,2,20,2,[],8,3,,VAN
1,-23,120,0,77,27,1979-80,21,0,16,5,,NHL,13.3,6,21,40,[],43,11,,TOT
1,-17,75,0,54,15,1979-80,12,0,11,4,,NHL,14.7,3,21,27,[],26,7,,VAN
0,-6,45,0,23,12,1979-80,9,0,5,1,,NHL,11.1,3,21,13,[],17,4,,TOR
3,-11,208,0,80,39,1980-81,23,0,35,6,,NHL,16.8,16,22,26,[],74,29,,TOR
2,5,198,3,75,50,1981-82,34,0,34,6,,NHL,17.2,13,23,42,[],84,28,,TOR
1,-19,135,0,58,24,1982-83,9,0,13,5,,NHL,9.6,15,24,27,[],37,8,,TOR
3,-8,210,0,79,20,1983-84,17,2,40,8,,NHL,19.0,3,25,50,[],60,30,,TOR
4,-15,147,2,62,31,1984-85,16,5,31,7,,NHL,21.1,13,26,21,[],62,19,,TOR
1,-9,77,0,67,21,1985-86,17,1,10,2,,NHL,13.0,4,27,21,[],31,7,,TOT
0,0,2,0,1,0,1985-86,0,0,0,0,,NHL,0.0,0,27,0,[],0,0,,TOR
1,4,40,0,39,16,1985-86,13,1,5,1,,NHL,12.5,3,27,15,[],21,3,,BOS
0,-13,35,0,27,5,1985-86,4,0,5,1,,NHL,14.3,1,27,6,[],10,4,,WIN
1,-7,46,0,48,11,1986-87,10,0,6,1,,NHL,13.0,1,28,18,[],17,5,,TOT
1,-3,26,0,30,6,1986-87,6,0,3,1,,NHL,11.5,0,28,12,[],9,2,,WIN
0,-4,20,0,18,5,1986-87,4,0,3,0,,NHL,15.0,1,28,6,[],8,3,,QUE
