assists,year,games_played,points,goals,team,age,pim,plus_minus,league
4,1943-44,23,12,8,St. Catharines Falcons,16,32,0,OHA-Jr.
14,1944-45,21,31,17,St. Catharines Falcons,17,36,0,OHA-Jr.
20,1945-46,46,50,30,Boston Olympics,18,58,0,EAHL
15,1946-47,56,41,26,Boston Olympics,19,71,0,EAHL
6,1947-48,43,10,4,St. Paul Saints,20,26,0,USHL
39,1948-49,66,72,33,St. Paul Saints,21,64,0,USHL
36,1949-50,69,54,18,St. Paul Saints,22,37,0,USHL
26,1950-51,57,51,25,St. Paul Saints,23,54,0,USHL
26,1951-52,62,46,20,Tacoma Rockets,24,64,0,PCHL
6,1952-53,33,13,7,Cleveland Barons,25,45,0,AHL
0,1953-54,8,1,1,Ottawa Senators,26,4,0,QHL
35,1953-54,48,65,30,Marion Barons,26,87,0,IHL
