assists,team,goals,year,games_played,points,pim,age,plus_minus,league
10,Calgary Wranglers,2,1980-81,22,12,5,17,0,WHL
3,Calgary Wranglers,2,1981-82,9,5,21,18,0,WHL
11,Calgary Wranglers,0,1982-83,15,11,44,19,0,WHL
2,Nova Scotia Oilers,0,1984-85,5,2,7,21,0,AHL
21,SV Bayreuth,17,1986-87,16,37,25,23,0,W.Ger-2
1,Schwenninger ERC,1,1988-89,2,2,2,25,0,W.German
8,Schwenninger ERC,3,1989-90,10,11,8,26,0,W.German
4,SB DJK Rosenheim,3,1990-91,11,7,6,27,0,Germany
10,SB DJK Rosenheim,2,1991-92,10,12,2,28,0,Germany
3,Mannheimer ERC,4,1992-93,8,7,6,29,0,Germany
2,Mannheimer ERC,0,1993-94,4,2,4,30,0,Germany
9,Adler Mannheim,1,1994-95,10,10,6,31,0,Germany
6,Adler Mannheim,3,1995-96,11,9,6,32,0,Germany
2,EV Landshut,1,1996-97,7,3,8,33,0,Germany
