game_winning_goals,shotsPercentage,plus_minus,shots,power_play_goals,age,average_ice_time,games_played,assists,year,points,shorthanded_goals,goals,even_strength_goals,team,win,pim,total_ice_time,league
0,0.0,-7,18,0,21,,14,1,1986-87,1,0,0,0,NYI,,35,,NHL
0,8.3,-1,12,1,22,,6,0,1987-88,1,0,1,0,NYI,,42,,NHL
0,0.0,-5,12,0,24,,5,0,1989-90,0,0,0,0,NYI,,12,,NHL
0,10.0,-1,10,1,25,,6,0,1990-91,1,0,1,0,VAN,,11,,NHL
0,0.0,-3,7,0,26,,5,0,1991-92,0,0,0,0,VAN,,10,,NHL
0,23.5,1,17,0,27,,12,2,1992-93,6,0,4,4,VAN,,12,,NHL
0,3.1,1,32,0,28,,0,7,1993-94,8,0,1,1,VAN,,22,,NHL
0,4.8,-4,21,0,29,,16,3,1994-95,4,0,1,1,CHI,,22,,NHL
0,0.0,2,8,0,31,,7,0,1996-97,0,0,0,0,PHX,,10,,NHL
0,0.0,-4,14,0,32,,6,2,1997-98,2,0,0,0,PHX,,20,,NHL
0,0.0,-1,4,0,33,19:00,3,0,1998-99,0,0,0,0,PHX,,2,57,NHL
0,0.0,-1,4,0,34,14:24,10,1,1999-00,1,0,0,0,TOR,,14,144,NHL
