shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
0,1962-63,9,0,,0,0,0,0,0,0,DET,0,20,0,NHL,0,,2,0,[],0
0,1963-64,14,0,,0,0,0,3,0,3,DET,3,21,0,NHL,0,,32,6,[],0
0,1964-65,30,0,,0,0,0,8,0,13,DET,8,22,1,NHL,0,,0,21,[],0
0,1965-66,34,0,,0,0,0,17,0,24,DET,22,23,0,NHL,0,,69,46,[],5
0,1966-67,10,0,,0,0,0,14,0,19,DET,21,24,5,NHL,1,,46,40,[],6
10.5,1967-68,43,20,,0,172,6,14,13,26,TOT,18,25,3,NHL,0,,63,44,[],4
9.7,1967-68,35,17,,0,134,3,9,0,20,DET,13,25,2,NHL,0,,50,33,[],4
13.2,1967-68,8,3,,0,38,3,5,13,6,TOR,5,25,1,NHL,0,,13,11,[],0
12.1,1968-69,16,25,,0,223,7,23,18,32,TOR,27,26,5,NHL,0,,74,59,[],4
9.4,1969-70,18,17,,0,213,5,15,14,22,TOR,20,27,4,NHL,0,,67,42,[],5
14.1,1970-71,34,20,,0,213,10,22,14,30,TOR,30,28,2,NHL,0,,72,60,[],8
19.9,1971-72,32,15,,0,191,4,25,14,19,TOR,38,29,5,NHL,1,,73,57,[],12
17.1,1972-73,18,15,,0,105,1,16,2,16,TOR,18,30,3,NHL,0,,40,34,[],2
15.1,1973-74,40,20,,0,159,11,19,9,31,TOR,24,31,2,NHL,0,,69,55,[],5
20.5,1974-75,18,0,,0,146,0,24,18,33,TRT,30,32,0,WHA,2,,58,63,[],4
14.5,1975-76,22,0,,0,179,0,17,-20,29,TRT,26,33,3,WHA,1,,65,55,[],8
13.1,1976-77,30,0,,0,176,0,22,-9,25,BRB,23,34,0,WHA,0,,81,48,[],1
17.5,1977-78,22,0,,0,212,0,25,4,29,BRB,37,35,0,WHA,1,,80,66,[],11
12.6,1978-79,20,0,,0,190,0,17,-2,27,BRB,24,36,0,WHA,1,,76,51,[],6
24.1,1979-80,6,5,,0,29,1,6,5,6,ATF,7,37,1,NHL,0,,30,13,[],1
