pim,team,assists,plus_minus,points,league,games_played,year,age,goals
6,Poland,6,0,11,EJC-B,5,1988-89,16,5
0,GKS Tychy Jr.,11,0,46,Poland-Jr.,30,1989-90,17,35
4,Poland,0,0,1,WJC-A,7,1989-90,17,1
14,Poland,3,0,12,EJC-A,6,1989-90,17,9
0,GKS Tychy,15,0,40,Poland,24,1990-91,18,25
2,Poland,3,0,15,WJC-B,7,1990-91,18,12
4,Poland,2,0,8,WEC-B,7,1990-91,18,6
4,Djurgardens IF Stockholm,5,0,13,Sweden,39,1991-92,19,8
4,Poland,1,0,1,Olympics,5,1991-92,19,0
4,Poland,0,0,0,WC-A,6,1991-92,19,0
74,Hammarby IF Stockholm,30,0,69,Sweden-2,32,1992-93,20,39
20,Djurgardens IF Stockholm,21,0,34,Sweden,39,1993-94,21,13
10,Kiekko-Espoo,3,0,12,Finland,7,1994-95,22,9
0,Poland,1,0,3,WC-B,3,1997-98,25,2
2,Poland,7,2,11,WC-B,7,1999-00,27,4
4,Poland,2,4,4,WC-A,3,2001-02,29,2
12,Hamilton Bulldogs,12,0,20,AHL,20,2002-03,30,8
20,Djurgardens IF Stockholm,9,0,24,Sweden,46,2004-05,32,15
0,Poland,3,2,7,Oly-PQ,3,2004-05,32,4
4,Poland,1,0,3,Oly-Q,3,2004-05,32,2
2,Poland,4,3,7,WC-B,5,2005-06,33,3
70,SC Rapperswil-Jona Lakers,20,0,41,Swiss,43,2006-07,34,21
30,Rapperswil-Jona Lakers,31,0,53,Swiss,49,2007-08,35,22
