league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,21,0,22,18,4,2,,MTL,[],5.6,0,3,3,1,0,1988-89,,1,10,0,1
NHL,65,1,23,109,30,13,,TOT,[],3.7,4,26,17,4,0,1989-90,,0,49,0,13
NHL,54,0,23,79,20,8,,MTL,[],1.3,1,19,17,1,0,1989-90,,0,41,0,11
NHL,11,1,23,30,10,5,,VAN,[],10.0,3,7,0,3,0,1989-90,,0,8,0,2
NHL,80,0,24,157,32,8,,VAN,[],3.2,4,27,-15,5,0,1990-91,,1,59,0,19
NHL,75,1,25,106,44,17,,VAN,"[{'link': '/awards/voting-1992.html#AS', 'name': 'AS-12'}]",11.3,8,32,25,12,1,1991-92,,3,65,1,14
NHL,74,1,26,123,44,12,,VAN,"[{'link': '/awards/voting-1993.html#AS', 'name': 'AS-16'}]",6.5,3,36,30,8,2,1992-93,,3,55,1,23
NHL,83,3,27,161,55,15,,VAN,[],8.1,9,42,3,13,3,1993-94,,1,50,4,23
NHL,36,1,28,78,17,3,,VAN,[],6.4,2,12,4,5,0,1994-95,,3,26,2,7
NHL,80,2,29,192,54,17,,VAN,[],8.9,9,37,-9,17,0,1995-96,,8,50,2,18
NHL,66,2,30,107,35,10,,VAN,[],10.3,6,24,8,11,0,1996-97,,5,32,1,13
NHL,74,1,31,117,30,8,,VAN,[],7.7,5,21,-25,9,0,1997-98,,4,34,0,13
NHL,60,4,32,121,28,9,1400,PHX,[],5.8,6,21,5,7,0,1998-99,23:20,1,34,1,11
NHL,74,3,33,142,40,12,1746,PHX,[],5.6,4,32,9,8,0,1999-00,23:36,4,44,3,17
NHL,58,0,34,77,25,9,1260,PHX,[],5.2,4,21,3,4,0,2000-01,21:44,0,44,0,12
NHL,66,1,35,73,13,2,1222,TOT,[],5.5,1,9,8,4,2,2001-02,18:31,1,22,0,7
NHL,15,0,35,12,1,0,205,DAL,[],0.0,0,1,-5,0,0,2001-02,13:40,0,4,0,1
NHL,51,1,35,61,12,2,1017,TOR,[],6.6,1,8,13,4,2,2001-02,19:57,1,18,0,6
NHL,73,3,36,72,17,2,1505,TOR,[],8.3,5,11,10,6,0,2002-03,20:37,1,46,0,9
