power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,3,1,0,NHL,1985-86,20,0,NYI,,1,0,-1,0,1,,,0.0,0
0,14,3,0,NHL,1986-87,21,1,NYI,,2,21,2,0,17,,,5.9,1
0,6,1,0,NHL,1987-88,22,0,NYI,,1,23,2,0,4,,,0.0,0
0,10,2,0,NHL,1988-89,23,1,CHI,,1,34,1,0,7,,,14.3,1
0,1,0,0,NHL,1989-90,24,0,CHI,,0,2,-1,0,0,,,0,0
0,13,4,0,NHL,1990-91,25,1,STL,,3,24,1,0,16,,,6.3,1
0,6,2,0,NHL,1991-92,26,0,STL,,2,4,0,0,5,,,0.0,0
0,11,0,0,NHL,1992-93,27,0,STL,,0,10,-7,0,6,,,0.0,0
0,5,6,0,NHL,1994-95,29,2,QUE,,4,0,2,0,10,,,20.0,2
0,7,4,0,NHL,1996-97,31,3,DAL,,1,4,3,0,12,,,25.0,3
0,17,1,0,NHL,1997-98,32,1,DAL,,0,12,-3,0,13,,,7.7,1
