goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
0,0,WHA,16,TOT,777,20,0,114,0,60,0,-7.48,0,0,0,0,0,0,0,.858,1977-78,423,4.63,2,[],363
0,0,WHA,6,QBN,266,20,0,0,0,30,0,0,0,0,0,0,0,0,0,.819,1977-78,166,6.77,2,[],136
0,0,WHA,10,WNJ,511,20,0,0,0,30,0,0,0,0,0,0,0,0,0,.883,1977-78,257,3.52,0,[],227
0,0,WHA,52,WNJ,2990,21,0,98,1,181,0,2.92,0,0,0,1,0,0,0,.883,1978-79,1544,3.63,4,[],1363
3.6,0,NHL,21,WIN,1200,22,11,0,0,65,0,0,4,2,5,0,0,0,0,0,1979-80,0,3.25,2,[],0
3.1,0,NHL,31,WIN,1707,23,21,0,1,128,0,0,4,1,3,1,0,0,0,0,1980-81,0,4.50,2,[],0
2.2,0,NHL,21,TOT,999,25,6,0,2,71,0,0,4,2,6,2,0,0,0,0,1982-83,0,4.26,2,[],0
0.3,0,NHL,2,MNS,100,25,1,0,0,6,0,0,0,1,1,0,0,0,0,0,1982-83,0,3.60,0,[],0
1.9,0,NHL,19,LAK,899,25,5,0,2,65,0,0,4,1,5,2,0,0,0,0,1982-83,0,4.34,2,[],0
2.0,0,NHL,19,LAK,1101,26,8,118,0,79,0,-11.95,2,1,7,0,0,0,0,.851,1983-84,530,4.31,0,[],451
