age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
19,,11.1,0,2,-3,NHL,13,0,1979-80,1,9,1,,1,12,,BUF,3
20,,0.0,0,3,1,NHL,8,0,1980-81,0,6,0,,0,20,,BUF,3
21,,20.0,1,1,2,NHL,4,0,1981-82,0,5,1,,0,14,,BUF,2
22,,16.0,4,4,-1,NHL,10,0,1982-83,1,25,4,,0,15,,BUF,8
23,,0.0,0,1,-2,NHL,3,0,1983-84,0,6,0,,0,6,,BUF,1
24,,0.0,0,1,0,NHL,5,0,1984-85,0,10,0,,0,23,,BUF,1
27,,0.0,0,3,-4,NHL,6,0,1987-88,0,6,0,,0,29,,BUF,3
28,,16.7,0,0,0,NHL,5,0,1988-89,0,6,1,,1,11,,BUF,1
29,,0.0,0,1,-7,NHL,6,0,1989-90,0,8,0,,0,8,,BUF,1
30,,12.5,1,0,0,NHL,5,0,1990-91,1,8,1,,0,12,,BUF,1
31,,0.0,0,2,1,NHL,7,0,1991-92,0,3,0,,0,8,,BUF,2
32,,0.0,0,6,10,NHL,12,0,1992-93,0,10,0,,0,4,,PIT,6
33,,0.0,0,0,0,NHL,1,0,1993-94,0,2,0,,0,0,,PIT,0
34,,0.0,0,1,2,NHL,15,0,1994-95,0,7,0,,0,4,,DET,1
35,,0.0,0,4,1,NHL,15,0,1995-96,0,11,0,,0,10,,DET,4
