age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
21,,7.4,1,3,-9,NHL,11,0,1971-72,0,27,2,,1,6,,STL,5
22,,0.0,0,0,-1,NHL,10,0,1972-73,0,6,0,,0,0,,NYR,0
23,,0.0,0,4,1,NHL,5,0,1973-74,0,9,0,,0,0,,LAK,4
24,,30.0,1,0,-4,NHL,3,0,1974-75,1,10,3,,2,4,,LAK,3
25,,4.5,0,4,-3,NHL,9,0,1975-76,0,22,1,,1,6,,LAK,5
26,,28.6,3,9,1,NHL,9,0,1976-77,0,14,4,,1,4,,LAK,13
27,,0.0,0,0,-3,NHL,2,0,1977-78,0,5,0,,0,0,,LAK,0
28,,0,0,1,-2,NHL,2,0,1978-79,0,0,0,,0,0,,LAK,1
29,,16.7,0,0,-2,NHL,4,1,1979-80,0,6,1,,0,2,,LAK,1
30,,0.0,0,1,0,NHL,1,0,1980-81,0,1,0,,0,0,,LAK,1
31,,16.7,2,1,4,NHL,10,0,1981-82,0,12,2,,0,32,,LAK,3
