pim,team,assists,plus_minus,points,league,games_played,year,age,goals
139,Penticton Knights,49,0,67,BCJHL,41,1982-83,18,18
12,Colorado College,5,0,6,WCHA,27,1983-84,19,1
24,Colorado College,18,0,28,WCHA,38,1984-85,20,10
14,Colorado College,29,0,59,WCHA,40,1985-86,21,30
37,Colorado College,42,0,64,WCHA,38,1986-87,22,22
0,Canada,3,0,6,Nat-Tm,10,1986-87,22,3
45,Kalamazoo Wings,41,0,67,IHL,75,1987-88,23,26
34,HC Cavalese,37,0,66,Italy,31,1988-89,24,29
14,SIJ Geleen,45,0,77,Holland,34,1990-91,26,32
0,SIJ Geleen,49,0,86,Holland,38,1991-92,27,37
0,SIJ Geleen,25,0,46,Holland,24,1992-93,28,21
