pim,team,assists,plus_minus,points,league,games_played,year,age,goals
6,Calgary Buffaloes,20,0,34,AMHL,31,2005-06,15,14
32,Regina Pats,27,13,55,WHL,66,2006-07,16,28
20,Regina Pats,33,5,75,WHL,70,2007-08,17,42
0,Canada,6,2,10,WJ18-A,7,2007-08,17,4
20,Regina Pats,39,-4,74,WHL,61,2008-09,18,35
4,Springfield Falcons,6,-5,9,AHL,9,2008-09,18,3
2,Canada,7,9,13,WJC-A,6,2008-09,18,6
32,Regina Pats,56,8,106,WHL,57,2009-10,19,50
0,Springfield Falcons,8,-2,14,AHL,11,2009-10,19,6
4,Canada,5,3,13,WJC-A,6,2009-10,19,8
0,Canada,3,2,4,WC-A,4,2009-10,19,1
2,Canada,0,4,4,WC-A,7,2010-11,20,4
0,Canada,4,4,8,WC-A,8,2011-12,21,4
10,Oklahoma City Barons,26,11,51,AHL,34,2012-13,22,25
2,Canada,5,1,5,WC-A,8,2012-13,22,0
0,Canada,8,8,13,WC,10,2014-15,24,5
