assists,year,games_played,points,goals,team,age,pim,plus_minus,league
0,1935-36,3,1,1,Moose Jaw Canucks,17,2,0,S-SJHL
0,1936-37,5,3,3,Moose Jaw Canucks,18,6,0,S-SJHL
4,1937-38,6,6,2,Moose Jaw Canucks,19,0,0,S-SJHL
3,1938-39,27,4,1,Regina Aces,20,22,0,SSHL
3,1939-40,17,4,1,Regina Vic-Aces,21,23,0,SSHL
5,1940-41,32,5,0,Regina Rangers,22,30,0,SSHL
31,1941-42,58,40,9,New York Rovers,23,55,0,EAHL
15,1943-44,30,17,2,Buffalo Bisons,25,19,0,AHL
20,1944-45,59,30,10,Buffalo Bisons,26,20,0,AHL
23,1945-46,60,29,6,2 Teams,27,32,0,AHL
3,1945-46,17,4,1,New Haven Ramblers,27,16,0,AHL
20,1945-46,43,25,5,Cleveland Barons,27,16,0,AHL
10,1946-47,58,15,5,Cleveland Barons,28,14,0,AHL
15,1947-48,58,17,2,Cleveland Barons,29,16,0,AHL
20,1948-49,62,25,5,Cleveland Barons,30,10,0,AHL
19,1949-50,67,23,4,Buffalo Bisons,31,25,0,AHL
24,1950-51,54,29,5,Springfield Indians,32,10,0,AHL
