game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,2,1,0,4,1,1994-95,1,0,1,0,,NHL,100.0,0,19,2,[],2,1,,CHI
2,16,167,0,80,23,1995-96,19,0,30,2,,NHL,18.0,4,20,18,"[{'link': '/awards/voting-1996.html#calder', 'name': 'Calder-2'}]",53,28,,CHI
4,-4,176,0,71,19,1996-97,15,0,22,11,,NHL,12.5,4,21,16,[],41,11,,CHI
7,4,216,0,80,11,1997-98,9,0,31,10,,NHL,14.4,2,22,22,[],42,21,,CHI
2,-13,189,0,72,20,1998-99,11,0,22,8,16:16,NHL,11.6,9,23,22,[],42,14,1171,CHI
1,-16,143,1,59,13,1999-00,7,0,23,6,16:15,NHL,16.1,5,24,28,[],36,17,959,CHI
8,1,205,3,79,24,2000-01,18,1,33,9,17:45,NHL,16.1,3,25,16,"[{'link': '/awards/voting-2001.html#byng', 'name': 'Byng-29'}]",57,23,1402,CHI
5,17,264,0,82,32,2001-02,19,0,38,12,17:07,NHL,14.4,13,26,36,"[{'link': '/awards/voting-2002.html#AS', 'name': 'AS-5'}]",70,26,1404,CHI
5,10,170,0,54,22,2002-03,17,0,22,3,16:17,NHL,12.9,5,27,14,"[{'link': '/awards/voting-2003.html#byng', 'name': 'Byng-38'}]",44,19,879,CHI
0,-7,76,0,19,7,2003-04,4,0,4,1,18:56,NHL,5.3,3,28,0,[],11,3,360,CHI
0,-2,0,0,1,0,2005-06,0,0,0,0,11:56,NHL,0,0,30,2,[],0,0,12,CHI
