assists,year,games_played,points,goals,team,age,pim,plus_minus,league
5,1992-93,7,10,5,Lac St-Louis Lions,16,16,0,QAAA
2,1993-94,5,2,0,St-Jean Lynx,17,2,0,QMJHL
13,1994-95,20,17,4,Laval Titan,18,39,0,QMJHL
22,1995-96,20,32,10,Granby Predateurs,19,110,0,QMJHL
2,1995-96,4,5,3,Granby Predateurs,19,10,0,M-Cup
4,1996-97,5,4,0,Granby Predateurs,20,27,0,QMJHL
4,1996-97,17,5,1,Springfield Falcons,20,37,0,AHL
0,1997-98,3,0,0,Springfield Falcons,21,2,0,AHL
1,1998-99,7,2,1,Hartford Wolf Pack,22,39,0,AHL
5,1999-00,21,6,1,Hartford Wolf Pack,23,20,0,AHL
1,2000-01,5,1,0,Hartford Wolf Pack,24,4,0,AHL
0,2001-02,5,0,0,Grand Rapids Griffins,25,18,0,AHL
3,2006-07,8,6,3,SCL Tigers Langnau,30,39,0,Swiss
