even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
1,4,BUF,1,18,23,0,,NHL,0,16,,1974-75,0,6.3,,0,5,-4
0,1,BUF,0,15,24,0,,NHL,0,9,,1975-76,9,0.0,,0,1,4
0,1,BUF,0,4,25,0,,NHL,0,2,,1976-77,6,0.0,,0,1,2
0,0,BUF,0,2,26,0,,NHL,0,10,,1977-78,8,0.0,,0,0,0
0,5,BUF,0,4,28,0,,NHL,0,5,,1979-80,14,0.0,,0,5,3
0,2,BUF,0,17,29,0,,NHL,0,13,,1980-81,8,0.0,,0,2,-7
0,0,BUF,0,0,30,0,,NHL,0,0,,1981-82,2,0,,0,0,-5
0,0,BUF,0,4,31,0,,NHL,0,7,,1982-83,10,0.0,,0,0,-1
0,0,BUF,0,0,32,0,,NHL,0,3,,1983-84,3,0.0,,0,0,-1
1,3,BUF,1,6,33,0,,NHL,0,5,,1984-85,3,20.0,,0,4,1
