goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
0.4,0,NHL,1,NYR,60,18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1981-82,0,1.00,0,[],0
0.5,0,NHL,3,NYR,180,20,1,0,0,10,0,0,0,0,2,0,0,0,0,.882,1983-84,85,3.33,2,[],75
7.4,0,NHL,42,NYR,2358,21,24,98,5,166,0,2.82,3,1,12,5,0,0,0,.877,1984-85,1346,4.22,17,"[{'link': '/awards/voting-1985.html#calder', 'name': 'Calder-14'}]",1180
10.0,0,NHL,61,NYR,3326,22,21,90,3,184,0,20.30,5,3,0,3,0,0,0,.887,1985-86,1625,3.32,16,"[{'link': '/awards/nhl_all_star.html#1986', 'name': None}, {'link': '/awards/voting-1986.html#hart', 'name': 'Hart-5'}, {'link': '/awards/vezina.html#1986', 'name': None}]",1441
7.7,0,NHL,50,NYR,2656,23,20,98,1,161,0,3.23,5,0,18,1,0,0,0,.882,1986-87,1369,3.64,18,"[{'link': '/awards/voting-1987.html#vezina', 'name': 'Vezina-6'}]",1208
10.5,0,NHL,56,NYR,3319,24,22,92,5,187,0,17.28,7,2,27,5,0,0,0,.890,1987-88,1700,3.38,46,"[{'link': '/awards/voting-1988.html#AS', 'name': 'AS-9'}, {'link': '/awards/voting-1988.html#vezina', 'name': 'Vezina-6'}]",1513
9.2,0,NHL,56,NYR,3207,25,21,98,2,197,0,3.91,4,0,28,2,0,0,0,.882,1988-89,1666,3.69,30,"[{'link': '/awards/voting-1989.html#AS', 'name': 'AS-10'}, {'link': '/awards/voting-1989.html#vezina', 'name': 'Vezina-4'}]",1469
7.9,0,NHL,47,NYR,2734,26,19,95,2,154,0,7.90,7,1,19,2,0,0,0,.887,1989-90,1362,3.38,24,[],1208
6.8,0,NHL,40,NYR,2257,27,18,96,3,126,0,5.53,6,3,15,3,0,0,0,.891,1990-91,1154,3.35,18,[],1028
9.5,0,NHL,45,NYR,2526,28,13,81,3,120,0,28.86,3,2,27,3,0,0,0,.910,1991-92,1331,2.85,23,"[{'link': '/awards/voting-1992.html#AS', 'name': 'AS-9'}, {'link': '/awards/voting-1992.html#vezina', 'name': 'Vezina-6'}]",1211
9.9,0,NHL,48,NYR,2757,29,18,87,1,152,0,23.51,7,4,20,1,0,0,0,.900,1992-93,1525,3.31,18,[],1373
15.2,0,NHL,57,FLA,3440,30,25,72,0,145,0,0,11,1,21,0,0,0,0,.924,1993-94,1912,2.53,38,"[{'link': '/awards/nhl_all_star.html#1994', 'name': None}, {'link': '/awards/voting-1994.html#hart', 'name': 'Hart-3'}, {'link': '/awards/voting-1994.html#vezina', 'name': 'Vezina-2'}]",1767
6.8,0,NHL,37,FLA,2087,31,15,87,1,86,0,13.42,4,4,14,1,0,0,0,.914,1994-95,1000,2.47,6,"[{'link': '/awards/voting-1995.html#vezina', 'name': 'Vezina-5'}]",914
8.6,0,NHL,57,FLA,3178,32,20,95,2,142,0,7.63,7,2,26,2,0,0,0,.904,1995-96,1473,2.68,10,"[{'link': '/awards/voting-1996.html#AS', 'name': 'AS-8'}, {'link': '/awards/voting-1996.html#vezina', 'name': 'Vezina-7'}]",1331
10.8,0,NHL,57,FLA,3347,33,19,85,2,128,0,22.72,10,2,27,2,0,0,0,.919,1996-97,1582,2.29,8,"[{'link': '/awards/voting-1997.html#AS', 'name': 'AS-4'}, {'link': '/awards/voting-1997.html#vezina', 'name': 'Vezina-7'}]",1454
8.5,0,NHL,60,FLA,3451,34,29,107,3,165,0,-11.42,11,4,18,3,0,0,0,.899,1997-98,1638,2.87,6,[],1473
7.2,0,NHL,62,PHI,3712,35,18,106,1,135,0,-7.75,0,6,27,1,0,0,0,.902,1998-99,1380,2.18,12,[],1245
7.1,0,NHL,50,PHI,2950,36,15,99,1,108,0,1.28,9,3,25,1,0,0,0,.906,1999-00,1143,2.20,6,[],1035
7.5,0,NHL,48,TOT,2630,37,25,103,0,126,0,-3.14,5,2,14,0,0,0,0,.901,2000-01,1270,2.87,8,[],1144
6.6,0,NHL,44,NYI,2390,37,25,105,0,120,0,-6.14,5,1,10,0,0,0,0,.898,2000-01,1177,3.01,8,[],1057
0.9,0,NHL,4,NJD,240,37,0,0,0,6,0,0,0,1,4,0,0,0,0,.935,2000-01,93,1.50,0,[],87
0.8,0,NHL,5,NJD,300,38,3,0,0,10,0,0,0,0,2,0,0,0,0,.915,2001-02,117,2.00,4,[],107
