won,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
,0,NHL,1,NYR,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983-84,0,0.00,0,0
,0,NHL,1,NYR,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1984-85,12,0.00,0,12
,0,NHL,16,NYR,899,22,8,98,2,49,0,1.01,0,0,8,2,0,0,0,.897,1985-86,477,3.27,2,428
,0,NHL,4,NYR,195,23,3,99,0,11,0,0.16,0,1,1,0,0,0,0,.900,1986-87,110,3.38,2,99
,0,NHL,2,NYR,107,25,1,0,0,6,0,0,0,0,0,0,0,0,0,.891,1988-89,55,3.36,0,49
,0,NHL,6,NYR,298,26,3,89,0,15,0,1.87,0,0,2,0,0,0,0,.902,1989-90,153,3.02,4,138
,0,NHL,1,NYR,52,27,0,0,0,1,0,0,0,0,0,0,0,0,0,.955,1990-91,22,1.15,0,21
,0,NHL,7,NYR,368,28,5,124,0,23,0,-4.44,0,0,2,0,0,0,0,.872,1991-92,179,3.75,2,156
,0,NHL,0,FLA,1332,32,0,73,1,50,0,18.13,0,1,12,1,0,0,0,.932,1995-96,0,2.25,20,0
,0,NHL,5,FLA,328,33,4,87,0,13,0,1.92,0,1,1,0,0,0,0,.929,1996-97,184,2.38,0,171
,0,NHL,6,PHI,369,35,4,72,0,9,0,3.44,0,1,2,0,0,0,0,.938,1998-99,146,0,2,137
