assists,team,goals,year,games_played,points,pim,age,plus_minus,league
0,Toronto Young Rangers,0,1938-39,1,0,2,17,0,OHA-Jr.
0,Toronto Young Rangers,0,1939-40,2,0,2,18,0,OHA-Jr.
0,Toronto Young Rangers,2,1940-41,5,2,8,19,0,OHA-Jr.
1,Toronto Marlboros,2,1941-42,6,3,8,20,0,OHA-Jr.
3,Toronto Kodaks,1,1941-42,6,4,15,20,0,TMHL
7,Toronto RCAF,2,1942-43,9,9,12,21,0,OHA-Sr.
2,Toronto RCAF,0,1942-43,4,2,4,21,0,Al-Cup
2,Boston Olympics,2,1944-45,3,4,2,23,0,EAHL
0,Hershey Bears,0,1952-53,3,0,0,31,0,AHL
3,Hershey Bears,0,1953-54,11,3,12,32,0,AHL
