age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
20,,20.0,1,4,-7,NHL,5,0,1986-87,0,5,1,,0,2,,LAK,5
21,,33.3,0,5,-8,NHL,5,0,1987-88,1,6,2,,2,18,,LAK,7
22,,8.3,2,6,0,NHL,11,0,1988-89,1,24,2,,0,10,,LAK,8
23,,17.9,4,5,-5,NHL,10,0,1989-90,1,28,5,,1,12,,LAK,10
24,,27.3,7,4,-2,NHL,12,0,1990-91,2,44,12,,5,22,,LAK,16
25,,10.7,2,4,-1,NHL,6,0,1991-92,1,28,3,,1,12,,LAK,7
26,,12.7,5,13,-13,NHL,0,0,1992-93,2,71,9,,4,28,,LAK,22
28,,21.2,7,4,5,NHL,12,0,1994-95,2,33,7,,0,26,,PIT,11
29,,2.8,1,5,1,NHL,11,0,1995-96,0,36,1,,0,8,,NYR,6
30,,9.3,4,7,7,NHL,15,0,1996-97,0,43,4,,0,4,,NYR,11
31,,7.7,1,2,1,NHL,4,0,1997-98,0,13,1,,0,6,,LAK,3
33,,25.0,2,2,-1,NHL,4,0,1999-00,0,8,2,20:25,0,6,82,LAK,4
34,,16.7,3,3,1,NHL,13,0,2000-01,1,24,4,18:19,1,10,238,LAK,7
35,SC,9.3,3,5,4,NHL,0,0,2001-02,1,43,4,13:16,1,10,305,DET,9
36,,8.3,1,0,1,NHL,4,0,2002-03,0,12,1,11:30,0,0,46,DET,1
