pim,team,assists,plus_minus,points,league,games_played,year,age,goals
12,Torpedo Yaroslavl 2,1,0,3,Russia-3,42,1999-00,16,2
8,Russia,1,0,1,Nat-Tm,11,1999-00,16,0
20,Lokomotiv Yaroslavl 2,2,0,9,Russia-3,34,2000-01,17,7
2,Russia,1,0,1,4-Nations,3,2000-01,17,0
0,Russia,1,2,3,WJC-A,7,2000-01,17,2
0,Russia,3,5,4,WJ18-A,6,2000-01,17,1
2,Lokomotiv Yaroslavl 2,1,0,2,Russia-3,7,2001-02,18,1
10,Lokomotiv Yaroslavl,2,0,3,Russia,27,2001-02,18,1
0,Russia,2,3,3,WJC-A,7,2001-02,18,1
0,Russia,0,0,1,4-Nations,3,2001-02,18,1
26,Lokomotiv Yaroslavl,7,0,7,Russia,48,2002-03,19,0
6,Russia,2,0,2,WJC-A,6,2002-03,19,0
34,Manchester Monarchs,7,6,9,AHL,43,2003-04,20,2
87,Manchester Monarchs,44,21,49,AHL,75,2004-05,21,5
59,Manchester Monarchs,25,7,27,AHL,48,2005-06,22,2
79,Lokomotiv Yaroslavl,9,0,17,Russia,47,2006-07,23,8
0,Russia,2,0,3,WC-A,9,2006-07,23,1
2,Russia,6,12,6,WC-A,9,2007-08,24,0
2,Russia,2,4,2,WC-A,9,2008-09,25,0
2,Russia,1,0,1,Olympics,4,2009-10,26,0
0,Russia,0,3,1,WC-A,9,2009-10,26,1
44,SKA St. Petersburg,9,0,17,KHL,54,2010-11,27,8
0,Russia,0,1,0,WC-A,2,2010-11,27,0
51,SKA St. Petersburg,8,0,8,KHL,46,2011-12,28,0
22,2 Teams,9,0,9,KHL,44,2012-13,29,0
8,SKA St. Petersburg,1,0,1,KHL,14,2012-13,29,0
14,Yugra Khanty-Mansiisk,8,0,8,KHL,30,2012-13,29,0
20,Oklahoma City Barons,7,-10,9,AHL,39,2013-14,30,2
28,Vityaz Podolsk,10,-13,11,KHL,52,2014-15,31,1
