giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
0,NHL,6,0,22,0,0,7,1,0,1,,STL,0,0,[],0.0,0,1,-3,0,0,0,1996-97,0,,0,2,0,0
0,NHL,34,0,24,0,0,48,9,0,0,277,STL,0,0,[],8.3,4,5,-3,4,0,0,1998-99,0,8:08,0,40,0,5
0,NHL,79,0,25,0,0,99,17,0,0,771,STL,0,0,[],7.1,7,10,0,7,0,0,1999-00,0,9:46,0,90,0,10
0,NHL,77,0,26,0,0,132,21,0,0,852,STL,0,0,[],6.1,8,13,-3,8,0,0,2000-01,0,11:04,0,117,0,13
0,NHL,77,0,27,0,0,105,17,0,0,893,STL,0,0,[],8.6,8,8,9,9,0,1,2001-02,0,11:36,0,99,0,8
0,NHL,15,0,28,0,0,26,7,0,1,215,STL,0,0,[],7.7,2,5,1,2,0,0,2002-03,0,14:21,0,8,0,4
0,NHL,80,3,29,0,0,130,11,0,0,1041,STL,0,0,[],4.6,5,5,-19,6,0,1,2003-04,0,13:01,0,91,1,4
0,NHL,67,1,31,0,0,111,26,0,0,1013,STL,0,0,[],13.5,13,11,-22,15,0,2,2005-06,0,15:07,0,129,2,9
0,NHL,80,0,32,0,0,129,22,0,0,1170,STL,0,0,[],6.2,6,14,-19,8,0,2,2006-07,0,14:37,0,89,0,14
18,NHL,80,3,33,299,232,153,27,101,0,1275,STL,42,56.2,[],7.8,11,15,-19,12,384,1,2007-08,38,15:56,0,91,1,14
17,NHL,71,1,34,180,143,72,16,66,1,749,TOR,14,57.7,[],9.7,7,9,-7,7,246,0,2008-09,30,10:33,0,82,0,8
12,NHL,71,1,35,163,120,75,14,66,0,640,TOT,21,56.4,[],4.0,3,11,-3,3,211,0,2009-10,30,9:01,0,131,0,11
10,NHL,44,0,35,114,76,47,8,35,0,392,TOR,13,56.8,[],4.3,2,6,-5,2,150,0,2009-10,22,8:55,0,78,0,6
2,NHL,27,1,35,49,44,28,6,31,0,248,CGY,8,55.5,[],3.6,1,5,2,1,61,0,2009-10,8,9:11,0,53,0,5
18,NHL,78,0,36,45,107,62,14,105,0,693,SJS,24,54.1,[],4.8,3,11,3,3,53,0,2010-11,19,8:53,0,124,0,11
17,NHL,81,1,37,245,121,70,15,102,1,794,CHI,23,56.1,[],8.6,6,9,-4,6,313,0,2011-12,25,9:48,0,91,0,8
2,NHL,19,0,38,36,17,10,2,26,0,132,CHI,3,53.8,[],0.0,0,2,2,0,42,0,2012-13,4,6:58,0,16,0,2
