pim,team,assists,plus_minus,points,league,games_played,year,age,goals
40,Whitewood Major Mites,30,0,55,SMHL,40,1990-91,15,25
19,Moose Jaw Warriors,7,0,9,WHL,43,1991-92,16,2
104,Moose Jaw Warriors,35,0,44,WHL,67,1992-93,17,9
54,Moose Jaw Warriors,55,0,68,WHL,64,1993-94,18,13
0,Canada,1,0,1,WJC-A,7,1993-94,18,0
0,Cincinnati Cyclones,0,0,0,IHL,1,1993-94,18,0
61,Moose Jaw Warriors,54,0,71,WHL,66,1994-95,19,17
65,Carolina Panthers,33,0,42,AHL,78,1995-96,20,9
38,Carolina Monarchs,23,0,32,AHL,66,1996-97,21,9
66,Fort Wayne Komets,36,9,44,IHL,79,1997-98,22,8
30,Hershey Bears,32,8,44,AHL,65,1998-99,23,12
4,Milwaukee Admirals,3,1,3,IHL,5,1998-99,23,0
77,Kentucky Thoroughblades,48,12,57,AHL,78,1999-00,24,9
42,Cleveland Lumberjacks,32,2,41,IHL,77,2000-01,25,9
49,Bridgeport Sound Tigers,38,6,48,AHL,80,2001-02,26,10
45,EV Zug,7,0,7,Swiss,21,2002-03,27,0
32,Augsburger Panther,16,0,19,Germany,22,2002-03,27,3
48,Cincinnati Mighty Ducks,37,-12,46,AHL,70,2003-04,28,9
36,ERC Ingolstadt,19,0,24,Germany,46,2004-05,29,5
52,ERC Ingolstadt,16,0,22,Germany,43,2005-06,30,6
52,Frankfurt Lions,17,0,21,Germany,50,2006-07,31,4
77,Frankfurt Lions,24,0,32,Germany,55,2007-08,32,8
50,Frankfurt Lions,12,0,13,Germany,49,2008-09,33,1
28,Springfield Falcons,20,-18,25,AHL,51,2009-10,34,5
