power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
1,9,7,0,NHL,1980-81,19,4,EDM,,3,22,5,0,26,,,15.4,3
1,5,2,0,NHL,1981-82,20,1,EDM,,1,6,-3,0,9,,,11.1,0
2,16,14,0,NHL,1982-83,21,7,EDM,,7,14,15,2,42,,,16.7,3
2,19,22,1,NHL,1983-84,22,8,EDM,,14,21,0,0,66,,SC,12.1,6
3,18,37,0,NHL,1984-85,23,12,EDM,,25,44,26,1,66,,SC,18.2,8
1,10,10,0,NHL,1985-86,24,1,EDM,,9,30,0,0,33,,,3.0,0
1,17,11,1,NHL,1986-87,25,3,EDM,,8,30,7,0,43,,SC,7.0,2
2,11,15,1,NHL,1988-89,27,2,PIT,,13,31,-7,0,48,,,4.2,0
0,12,11,0,NHL,1990-91,29,2,PIT,,9,6,-1,0,37,,SC,5.4,2
3,6,7,0,NHL,1991-92,30,4,LAK,,3,2,-5,0,28,,,14.3,1
0,7,11,0,NHL,1992-93,31,2,DET,,9,2,-3,0,24,,,8.3,2
0,7,7,0,NHL,1993-94,32,1,DET,,6,8,6,0,23,,,4.3,1
2,18,18,0,NHL,1994-95,33,6,DET,,12,10,4,1,0,,,8.1,3
3,17,14,1,NHL,1995-96,34,5,DET,,9,30,-3,0,49,,,10.2,0
0,17,9,0,NHL,1996-97,35,1,PHI,,8,6,-3,0,37,,,2.7,1
0,5,1,0,NHL,1998-99,37,0,CAR,23:10,1,2,0,0,8,116,,0.0,0
