shotsPercentage,faceoff_loses,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,giveaways,total_shots,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,takeaways,faceoff_percentage,age,game_winning_goals,league,shorthanded_goals,blocks,average_ice_time,hits,games_played,faceoff_wins,points,awards,power_play_goals
6.1,0,2003-04,57,12,1770,1,0,0,115,6,5,-12,19,NSH,7,0,0,21,4,NHL,0,0,22:08,0,80,0,26,"[{'link': '/awards/voting-2004.html#calder', 'name': 'Calder-11'}]",2
5.2,0,2005-06,70,18,1850,1,0,0,135,12,2,11,31,NSH,7,0,0,23,1,NHL,1,0,22:34,0,82,0,38,[],4
7.1,0,2006-07,66,14,1728,0,0,0,84,0,6,8,14,NSH,6,0,0,24,1,NHL,0,0,21:20,0,81,0,20,[],0
3.1,0,2007-08,66,13,1819,3,43,264,127,7,3,-4,23,NSH,4,50,0,25,1,NHL,0,69,22:44,162,80,0,27,[],1
2.2,0,2008-09,67,17,1873,1,52,246,135,5,1,-4,23,NSH,3,63,0,26,1,NHL,1,113,22:50,133,82,0,26,[],1
4.3,0,2009-10,49,18,1658,0,51,254,115,1,5,4,19,NSH,5,48,0,27,0,NHL,0,95,21:15,148,78,0,24,[],0
5.5,0,2010-11,34,12,1451,0,33,234,109,5,4,29,17,VAN,6,43,0,28,1,NHL,0,89,22:41,76,64,0,23,"[{'link': '/awards/voting-2011.html#AS', 'name': 'AS-20'}, {'link': '/awards/voting-2011.html#norris', 'name': 'Norris-16'}]",2
2.9,0,2011-12,46,21,1921,2,62,333,140,10,3,29,33,VAN,4,48,0,29,0,NHL,0,99,23:26,103,82,0,37,"[{'link': '/awards/voting-2012.html#AS', 'name': 'AS-10'}, {'link': '/awards/voting-2012.html#norris', 'name': 'Norris-10'}]",1
6.6,0,2012-13,12,14,1099,0,31,171,61,6,3,9,20,VAN,4,20,0,30,0,NHL,1,63,23:23,47,47,0,24,"[{'link': '/awards/voting-2013.html#AS', 'name': 'AS-16'}, {'link': '/awards/voting-2013.html#norris', 'name': 'Norris-16'}]",0
3.3,0,2013-14,26,14,1893,0,69,308,150,3,5,13,17,VAN,5,48,0,31,0,NHL,0,130,23:57,87,79,0,22,[],0
1.2,0,2014-15,44,20,1270,0,47,178,82,2,0,0,22,VAN,1,18,0,32,0,NHL,0,71,21:32,82,59,0,23,[],1
4.2,0,2015-16,28,8,1242,0,47,164,72,2,2,-2,10,VAN,3,24,0,33,1,NHL,0,72,21:25,64,58,0,13,"[{'link': '/awards/voting-2016.html#byng', 'name': 'Byng-38'}]",1
1.2,0,2016-17,23,13,1529,2,37,201,83,0,0,-7,15,DAL,1,19,0,34,0,NHL,0,100,19:22,93,79,0,16,[],1
