goals_allowed_precentage,goalie_point_share,goals_saved_aboved_average,bad_start,year,awards,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0.7,0,0,1977-78,[],9,200,1,2,0,0,0,0,VAN,0,0,0,2.70,20,NHL,0,0,4,0,1,2
0,5.8,0,0,1978-79,"[{'link': '/awards/voting-1979.html#calder', 'name': 'Calder-6'}]",94,1821,5,30,0,0,0,1,VAN,3,0,0,3.10,21,NHL,0,0,31,1,12,13
0,9.0,0,0,1979-80,"[{'link': '/awards/voting-1980.html#AS', 'name': 'AS-10'}]",193,3341,10,43,0,0,0,1,VAN,0,0,0,3.47,22,NHL,0,0,57,1,17,29
0,1.5,0,0,1980-81,[],59,798,0,10,0,0,0,1,VAN,1,0,0,4.44,23,NHL,0,0,17,1,5,8
0,4.4,0,0,1981-82,[],114,1686,5,22,0,0,0,0,TOT,1,0,0,4.06,24,NHL,0,0,30,0,8,15
0,4.4,0,0,1981-82,[],106,1610,5,22,0,0,0,0,VAN,1,0,0,3.95,24,NHL,0,0,28,0,8,14
0,0.0,0,0,1981-82,[],8,76,0,0,0,0,0,0,STL,0,0,0,6.32,24,NHL,0,0,2,0,0,1
0,5.0,0,0,1982-83,[],117,1844,2,2,0,0,0,0,TOT,0,0,0,3.81,25,NHL,0,0,35,0,12,18
0,1.3,0,0,1982-83,[],50,671,1,0,0,0,0,0,STL,0,0,0,4.47,25,NHL,0,0,14,0,3,8
0,3.7,0,0,1982-83,[],67,1173,1,2,0,0,0,0,NYR,0,0,0,3.43,25,NHL,0,0,21,0,9,10
87,9.9,24.78,0,1983-84,"[{'link': '/awards/voting-1984.html#AS', 'name': 'AS-8'}, {'link': '/awards/voting-1984.html#vezina', 'name': 'Vezina-10'}]",166,2837,4,30,0,1342,1508,2,NYR,1,0,0,3.51,26,NHL,.890,0,50,2,28,14
97,8.1,5.49,0,1984-85,[],175,2510,7,4,0,1264,1439,0,NYR,0,0,0,4.18,27,NHL,.878,0,44,0,14,20
85,4.0,11.44,0,1985-86,[],65,1170,1,4,0,543,608,1,NYR,0,0,0,3.33,28,NHL,.893,0,23,1,5,12
89,6.3,12.96,0,1986-87,[],104,1963,5,20,0,871,975,0,DET,1,0,0,3.18,29,NHL,.893,0,36,0,11,16
91,8.1,14.25,0,1987-88,"[{'link': '/awards/voting-1988.html#AS', 'name': 'AS-13'}, {'link': '/awards/voting-1988.html#vezina', 'name': 'Vezina-9'}]",141,2623,5,30,0,1151,1292,1,DET,0,0,0,3.23,30,NHL,.891,0,47,1,22,17
97,5.9,3.23,0,1988-89,[],124,2092,8,12,0,931,1055,1,DET,1,0,0,3.56,31,NHL,.882,0,39,1,13,14
112,5.0,-16.23,0,1989-90,[],154,2290,5,24,0,1005,1159,3,DET,1,0,0,4.03,32,NHL,.867,0,45,3,15,18
92,2.7,3.92,0,1990-91,[],46,862,3,4,0,392,438,0,DET,0,0,0,3.20,33,NHL,.895,0,19,0,4,6
